Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung,ISIN
SAN,BANCO SANTANDER SA,Financials,Aktien,"109.829.266,56","1,18","109.829.266,56","11.439.357,00","9,60",Spanien,Bolsa De Madrid,EUR,ES0113900J37
SU,SCHNEIDER ELECTRIC,Industrie,Aktien,"103.660.457,00","1,12","103.660.457,00","443.942,00","233,50",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000121972
NOVO B,NOVO NORDISK CLASS B,Gesundheitsversorgung,Aktien,"102.277.644,78","1,10","102.277.644,78","2.471.555,00","41,38",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0062498333
TTE,TOTALENERGIES,Energie,Aktien,"97.217.116,76","1,05","97.217.116,76","1.741.618,00","55,82",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000120271
ULVR,UNILEVER PLC,Nichtzyklische Konsumgüter,Aktien,"95.729.691,58","1,03","95.729.691,58","1.735.828,00","55,15",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BVZK7T90
AIR,AIRBUS GROUP,Industrie,Aktien,"87.505.347,90","0,94","87.505.347,90","451.105,00","193,98",Frankreich,Nyse Euronext - Euronext Paris,EUR,NL0000235190
UBSG,UBS GROUP AG,Financials,Aktien,"85.368.333,01","0,92","85.368.333,01","2.411.488,00","35,40",Schweiz,SIX Swiss Exchange,CHF,CH0244767585
BATS,BRITISH AMERICAN TOBACCO,Nichtzyklische Konsumgüter,Aktien,"84.657.038,86","0,91","84.657.038,86","1.681.962,00","50,33",Vereinigtes Königreich,London Stock Exchange,GBP,GB0002875804
SAF,SAFRAN SA,Industrie,Aktien,"84.444.444,00","0,91","84.444.444,00","287.226,00","294,00",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000073272
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA SA,Financials,Aktien,"84.248.291,14","0,91","84.248.291,14","4.438.793,00","18,98",Spanien,Bolsa De Madrid,EUR,ES0113211835
IBE,IBERDROLA SA,Versorger,Aktien,"83.619.084,99","0,90","83.619.084,99","4.693.746,00","17,82",Spanien,Bolsa De Madrid,EUR,ES0144580Y14
RR.,ROLLS-ROYCE HOLDINGS PLC,Industrie,Aktien,"81.845.632,41","0,88","81.845.632,41","6.467.664,00","12,65",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B63H8491
UCG,UNICREDIT,Financials,Aktien,"79.804.837,24","0,86","79.804.837,24","1.195.399,00","66,76",Italien,Borsa Italiana,EUR,IT0005239360
ABBN,ABB LTD,Industrie,Aktien,"76.357.521,52","0,82","76.357.521,52","1.212.643,00","62,97",Schweiz,SIX Swiss Exchange,CHF,CH0012221716
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,Zyklische Konsumgüter ,Aktien,"75.011.947,46","0,81","75.011.947,46","414.148,00","181,12",Schweiz,SIX Swiss Exchange,CHF,CH0210483332
DTE,DEUTSCHE TELEKOM N AG,Kommunikation,Aktien,"72.499.464,46","0,78","72.499.464,46","2.699.161,00","26,86",Deutschland,Xetra,EUR,DE0005557508
SAN,SANOFI SA,Gesundheitsversorgung,Aktien,"72.208.081,92","0,78","72.208.081,92","873.344,00","82,68",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000120578
AI,LAIR LIQUIDE SOCIETE ANONYME POUR,Materialien,Aktien,"70.292.577,60","0,76","70.292.577,60","442.760,00","158,76",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000120073
ZURN,ZURICH INSURANCE GROUP AG,Financials,Aktien,"69.656.403,90","0,75","69.656.403,90","112.263,00","620,47",Schweiz,SIX Swiss Exchange,CHF,CH0011075394
EL,ESSILORLUXOTTICA SA,Gesundheitsversorgung,Aktien,"68.662.200,00","0,74","68.662.200,00","240.920,00","285,00",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000121667
OR,LOREAL SA,Nichtzyklische Konsumgüter,Aktien,"68.452.646,40","0,74","68.452.646,40","184.608,00","370,80",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000120321
ENR,SIEMENS ENERGY N AG,Industrie,Aktien,"67.373.124,00","0,72","67.373.124,00","545.090,00","123,60",Deutschland,Xetra,EUR,DE000ENER6Y0
GSK,GLAXOSMITHKLINE,Gesundheitsversorgung,Aktien,"65.219.404,34","0,70","65.219.404,34","3.160.587,00","20,64",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BN7SWP63
BP.,BP PLC,Energie,Aktien,"64.048.371,92","0,69","64.048.371,92","12.628.926,00","5,07",Vereinigtes Königreich,London Stock Exchange,GBP,GB0007980591
BNP,BNP PARIBAS SA,Financials,Aktien,"63.225.210,00","0,68","63.225.210,00","821.000,00","77,01",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000131104
ISP,INTESA SANPAOLO,Financials,Aktien,"62.978.159,09","0,68","62.978.159,09","11.178.232,00","5,63",Italien,Borsa Italiana,EUR,IT0000072618
RMS,HERMES INTERNATIONAL,Zyklische Konsumgüter ,Aktien,"57.472.355,00","0,62","57.472.355,00","26.995,00","2.129,00",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000052292
RHM,RHEINMETALL AG,Industrie,Aktien,"56.694.540,00","0,61","56.694.540,00","35.214,00","1.610,00",Deutschland,Xetra,EUR,DE0007030009
CS,AXA SA,Financials,Aktien,"55.741.401,00","0,60","55.741.401,00","1.420.525,00","39,24",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000120628
BARC,BARCLAYS PLC,Financials,Aktien,"55.068.688,51","0,59","55.068.688,51","10.882.883,00","5,06",Vereinigtes Königreich,London Stock Exchange,GBP,GB0031348658
MUV2,MUENCHENER RUECKVERSICHERUNGS-GESE,Financials,Aktien,"54.889.424,40","0,59","54.889.424,40","100.383,00","546,80",Deutschland,Xetra,EUR,DE0008430026
INGA,ING GROEP NV,Financials,Aktien,"53.238.138,98","0,57","53.238.138,98","2.315.205,00","23,00",Niederlande,Euronext Amsterdam,EUR,NL0011821202
RIO,RIO TINTO PLC,Materialien,Aktien,"52.998.358,52","0,57","52.998.358,52","826.112,00","64,15",Vereinigtes Königreich,London Stock Exchange,GBP,GB0007188757
ENEL,ENEL,Versorger,Aktien,"51.813.095,40","0,56","51.813.095,40","5.968.563,00","8,68",Italien,Borsa Italiana,EUR,IT0003128367
DG,VINCI SA,Industrie,Aktien,"51.606.227,20","0,56","51.606.227,20","442.592,00","116,60",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000125486
NG.,NATIONAL GRID PLC,Versorger,Aktien,"50.467.858,00","0,54","50.467.858,00","3.948.833,00","12,78",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BDR05C01
LLOY,LLOYDS BANKING GROUP PLC,Financials,Aktien,"50.052.186,05","0,54","50.052.186,05","46.125.233,00","1,09",Vereinigtes Königreich,London Stock Exchange,GBP,GB0008706128
PRX,PROSUS NV CLASS N,Zyklische Konsumgüter ,Aktien,"50.032.528,00","0,54","50.032.528,00","962.164,00","52,00",Niederlande,Euronext Amsterdam,EUR,NL0013654783
REL,RELX PLC,Industrie,Aktien,"49.407.441,27","0,53","49.407.441,27","1.436.994,00","34,38",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B2B0DG97
DBK,DEUTSCHE BANK AG,Financials,Aktien,"47.759.717,29","0,51","47.759.717,29","1.492.258,00","32,01",Deutschland,Xetra,EUR,DE0005140008
ITX,INDUSTRIA DE DISENO TEXTIL SA,Zyklische Konsumgüter ,Aktien,"46.641.650,70","0,50","46.641.650,70","852.681,00","54,70",Spanien,Bolsa De Madrid,EUR,ES0148396007
NWG,NATWEST GROUP PLC,Financials,Aktien,"45.112.503,45","0,49","45.112.503,45","6.365.504,00","7,09",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BM8PJY71
BA.,BAE SYSTEMS PLC,Industrie,Aktien,"45.091.923,56","0,49","45.091.923,56","2.309.402,00","19,53",Vereinigtes Königreich,London Stock Exchange,GBP,GB0002634946
ABI,ANHEUSER-BUSCH INBEV SA,Nichtzyklische Konsumgüter,Aktien,"41.808.626,00","0,45","41.808.626,00","788.842,00","53,00",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0974293251
INVE B,INVESTOR CLASS B,Financials,Aktien,"41.639.011,48","0,45","41.639.011,48","1.396.573,00","29,82",Schweden,Nasdaq Omx Nordic,SEK,SE0015811963
NDA FI,NORDEA BANK,Financials,Aktien,"39.248.139,44","0,42","39.248.139,44","2.522.374,00","15,56",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI4000297767
GLE,SOCIETE GENERALE SA,Financials,Aktien,"38.383.943,76","0,41","38.383.943,76","604.662,00","63,48",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000130809
LSEG,LONDON STOCK EXCHANGE GROUP PLC,Financials,Aktien,"37.293.207,74","0,40","37.293.207,74","389.600,00","95,72",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B0SWJX34
IFX,INFINEON TECHNOLOGIES AG,IT,Aktien,"36.864.732,65","0,40","36.864.732,65","1.004.215,00","36,71",Deutschland,Xetra,EUR,DE0006231004
BN,DANONE SA,Nichtzyklische Konsumgüter,Aktien,"36.848.463,36","0,40","36.848.463,36","490.528,00","75,12",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000120644
ARGX,ARGENX,Gesundheitsversorgung,Aktien,"36.418.136,80","0,39","36.418.136,80","47.284,00","770,20",Belgien,Nyse Euronext - Euronext Brussels,EUR,NL0010832176
CPG,COMPASS GROUP PLC,Zyklische Konsumgüter ,Aktien,"35.822.488,98","0,39","35.822.488,98","1.350.088,00","26,53",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BD6K4575
RKT,RECKITT BENCKISER GROUP PLC,Nichtzyklische Konsumgüter,Aktien,"35.240.336,19","0,38","35.240.336,19","517.295,00","68,12",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B24CGK77
MBG,MERCEDES-BENZ GROUP N AG,Zyklische Konsumgüter ,Aktien,"33.736.939,68","0,36","33.736.939,68","555.432,00","60,74",Deutschland,Xetra,EUR,DE0007100000
DHL,DEUTSCHE POST AG,Industrie,Aktien,"32.624.718,69","0,35","32.624.718,69","712.797,00","45,77",Deutschland,Xetra,EUR,DE0005552004
VOLV B,VOLVO CLASS B,Industrie,Aktien,"32.543.259,14","0,35","32.543.259,14","1.217.024,00","26,74",Schweden,Nasdaq Omx Nordic,SEK,SE0000115446
GLEN,GLENCORE PLC,Materialien,Aktien,"32.373.605,78","0,35","32.373.605,78","7.438.025,00","4,35",Vereinigtes Königreich,London Stock Exchange,GBP,JE00B4T3BW64
DSV,DSV,Industrie,Aktien,"32.076.814,28","0,35","32.076.814,28","152.028,00","210,99",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0060079531
HOLN,HOLCIM LTD AG,Materialien,Aktien,"32.075.932,36","0,35","32.075.932,36","406.251,00","78,96",Schweiz,SIX Swiss Exchange,CHF,CH0012214059
SGO,COMPAGNIE DE SAINT GOBAIN SA,Industrie,Aktien,"31.910.527,00","0,34","31.910.527,00","382.162,00","83,50",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000125007
DB1,DEUTSCHE BOERSE AG,Financials,Aktien,"31.754.406,50","0,34","31.754.406,50","144.667,00","219,50",Deutschland,Xetra,EUR,DE0005810055
SREN,SWISS RE AG,Financials,Aktien,"31.331.028,39","0,34","31.331.028,39","228.549,00","137,09",Schweiz,SIX Swiss Exchange,CHF,CH0126881561
DGE,DIAGEO PLC,Nichtzyklische Konsumgüter,Aktien,"31.189.677,11","0,34","31.189.677,11","1.701.592,00","18,33",Vereinigtes Königreich,London Stock Exchange,GBP,GB0002374006
LONN,LONZA GROUP AG,Gesundheitsversorgung,Aktien,"31.182.145,49","0,34","31.182.145,49","54.180,00","575,53",Schweiz,SIX Swiss Exchange,CHF,CH0013841017
ENGI,ENGIE SA,Versorger,Aktien,"30.620.286,84","0,33","30.620.286,84","1.426.854,00","21,46",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0010208488
ADYEN,ADYEN NV,Financials,Aktien,"30.239.913,60","0,33","30.239.913,60","22.672,00","1.333,80",Niederlande,Euronext Amsterdam,EUR,NL0012969182
ATCO A,ATLAS COPCO CLASS A,Industrie,Aktien,"30.209.446,33","0,33","30.209.446,33","1.967.726,00","15,35",Schweden,Nasdaq Omx Nordic,SEK,SE0017486889
BAS,BASF N,Materialien,Aktien,"29.578.423,32","0,32","29.578.423,32","685.638,00","43,14",Deutschland,Xetra,EUR,DE000BASF111
RACE,FERRARI NV,Zyklische Konsumgüter ,Aktien,"28.890.472,50","0,31","28.890.472,50","93.045,00","310,50",Italien,Borsa Italiana,EUR,NL0011585146
G,ASSICURAZIONI GENERALI,Financials,Aktien,"28.537.520,40","0,31","28.537.520,40","821.460,00","34,74",Italien,Borsa Italiana,EUR,IT0000062072
STAN,STANDARD CHARTERED PLC,Financials,Aktien,"28.386.890,82","0,31","28.386.890,82","1.456.407,00","19,49",Vereinigtes Königreich,London Stock Exchange,GBP,GB0004082847
BAYN,BAYER AG,Gesundheitsversorgung,Aktien,"27.704.556,68","0,30","27.704.556,68","756.645,00","36,62",Deutschland,Xetra,EUR,DE000BAY0017
CABK,CAIXABANK SA,Financials,Aktien,"27.703.556,52","0,30","27.703.556,52","2.764.826,00","10,02",Spanien,Bolsa De Madrid,EUR,ES0140609019
HLN,HALEON PLC,Gesundheitsversorgung,Aktien,"27.672.200,84","0,30","27.672.200,84","6.789.798,00","4,08",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BMX86B70
EUR,EUR CASH,Cash und/oder Derivate,Geldmarkt,"27.642.889,68","0,30","27.642.889,68","27.642.890,00","100,00",Europäische Union,-,EUR,
AAL,ANGLO AMERICAN PLC,Materialien,Aktien,"27.464.305,30","0,30","27.464.305,30","833.457,00","32,95",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BTK05J60
III,3I GROUP PLC,Financials,Aktien,"26.907.088,10","0,29","26.907.088,10","753.253,00","35,72",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B1YW4409
EOAN,E.ON N,Versorger,Aktien,"26.444.945,14","0,28","26.444.945,14","1.704.476,00","15,52",Deutschland,Xetra,EUR,DE000ENAG999
EXPN,EXPERIAN PLC,Industrie,Aktien,"26.422.756,64","0,28","26.422.756,64","705.353,00","37,46",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B19NLV48
ENI,ENI,Energie,Aktien,"26.397.861,94","0,28","26.397.861,94","1.648.424,00","16,01",Italien,Borsa Italiana,EUR,IT0003132476
ALC,ALCON AG,Gesundheitsversorgung,Aktien,"26.333.736,06","0,28","26.333.736,06","384.371,00","68,51",Schweiz,SIX Swiss Exchange,CHF,CH0432492467
LR,LEGRAND SA,Industrie,Aktien,"25.883.721,00","0,28","25.883.721,00","200.649,00","129,00",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0010307819
TSCO,TESCO PLC,Nichtzyklische Konsumgüter,Aktien,"25.874.310,47","0,28","25.874.310,47","5.057.911,00","5,12",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BLGZ9862
ASSA B,ASSA ABLOY B,Industrie,Aktien,"24.909.860,80","0,27","24.909.860,80","768.349,00","32,42",Schweden,Nasdaq Omx Nordic,SEK,SE0007100581
AD,KONINKLIJKE AHOLD DELHAIZE NV,Nichtzyklische Konsumgüter,Aktien,"23.915.278,08","0,26","23.915.278,08","695.616,00","34,38",Niederlande,Euronext Amsterdam,EUR,NL0011794037
PRU,PRUDENTIAL PLC,Financials,Aktien,"23.242.607,23","0,25","23.242.607,23","1.873.106,00","12,41",Vereinigtes Königreich,London Stock Exchange,GBP,GB0007099541
UCB,UCB SA,Gesundheitsversorgung,Aktien,"23.028.618,20","0,25","23.028.618,20","95.081,00","242,20",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0003739530
EBS,ERSTE GROUP BANK AG,Financials,Aktien,"22.780.642,60","0,25","22.780.642,60","231.041,00","98,60",Österreich,Wiener Boerse Ag,EUR,AT0000652011
RWE,RWE AG,Versorger,Aktien,"22.765.580,58","0,24","22.765.580,58","522.986,00","43,53",Deutschland,Xetra,EUR,DE0007037129
IMB,IMPERIAL BRANDS PLC,Nichtzyklische Konsumgüter,Aktien,"22.043.838,64","0,24","22.043.838,64","586.845,00","37,56",Vereinigtes Königreich,London Stock Exchange,GBP,GB0004544929
GIVN,GIVAUDAN SA,Materialien,Aktien,"21.936.029,57","0,24","21.936.029,57","6.204,00","3.535,77",Schweiz,SIX Swiss Exchange,CHF,CH0010645932
SAND,SANDVIK,Industrie,Aktien,"21.887.572,01","0,24","21.887.572,01","815.439,00","26,84",Schweden,Nasdaq Omx Nordic,SEK,SE0000667891
EQT,EQT,Financials,Aktien,"21.831.345,20","0,23","21.831.345,20","721.843,00","30,24",Schweden,Nasdaq Omx Nordic,SEK,SE0012853455
SDZ,SANDOZ GROUP AG,Gesundheitsversorgung,Aktien,"21.600.247,09","0,23","21.600.247,09","341.527,00","63,25",Schweiz,SIX Swiss Exchange,CHF,CH1243598427
FER,FERROVIAL,Industrie,Aktien,"21.550.786,40","0,23","21.550.786,40","381.160,00","56,54",Spanien,Bolsa De Madrid,EUR,NL0015001FS8
AMS,AMADEUS IT GROUP SA,Zyklische Konsumgüter ,Aktien,"21.388.856,58","0,23","21.388.856,58","347.109,00","61,62",Spanien,Bolsa De Madrid,EUR,ES0109067019
HEI,HEIDELBERG MATERIALS AG,Materialien,Aktien,"21.327.780,90","0,23","21.327.780,90","97.789,00","218,10",Deutschland,Xetra,EUR,DE0006047004
SEB A,SKANDINAVISKA ENSKILDA BANKEN,Financials,Aktien,"21.255.745,85","0,23","21.255.745,85","1.211.043,00","17,55",Schweden,Nasdaq Omx Nordic,SEK,SE0000148884
ADS,ADIDAS N AG,Zyklische Konsumgüter ,Aktien,"21.190.528,80","0,23","21.190.528,80","131.292,00","161,40",Deutschland,Xetra,EUR,DE000A1EWWW0
SIKA,SIKA AG,Materialien,Aktien,"20.927.655,97","0,23","20.927.655,97","124.006,00","168,76",Schweiz,SIX Swiss Exchange,CHF,CH0418792922
NOKIA,NOKIA,IT,Aktien,"20.698.016,22","0,22","20.698.016,22","3.900.870,00","5,31",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009000681
ORA,ORANGE SA,Kommunikation,Aktien,"20.684.409,87","0,22","20.684.409,87","1.513.678,00","13,66",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000133308
DANSKE,DANSKE BANK,Financials,Aktien,"20.662.578,35","0,22","20.662.578,35","503.550,00","41,03",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0010274414
BMW,BMW AG,Zyklische Konsumgüter ,Aktien,"20.646.680,44","0,22","20.646.680,44","215.834,00","95,66",Deutschland,Xetra,EUR,DE0005190003
SSE,SSE PLC,Versorger,Aktien,"20.573.949,65","0,22","20.573.949,65","859.534,00","23,94",Vereinigtes Königreich,London Stock Exchange,GBP,GB0007908733
SLHN,SWISS LIFE HOLDING AG,Financials,Aktien,"20.374.445,74","0,22","20.374.445,74","21.924,00","929,32",Schweiz,SIX Swiss Exchange,CHF,CH0014852781
CBK,COMMERZBANK AG,Financials,Aktien,"20.205.983,50","0,22","20.205.983,50","582.305,00","34,70",Deutschland,Xetra,EUR,DE000CBK1001
SWED A,SWEDBANK,Financials,Aktien,"19.837.814,84","0,21","19.837.814,84","699.884,00","28,34",Schweden,Nasdaq Omx Nordic,SEK,SE0000242455
PRY,PRYSMIAN,Industrie,Aktien,"19.621.196,70","0,21","19.621.196,70","227.255,00","86,34",Italien,Borsa Italiana,EUR,IT0004176001
ASM,ASM INTERNATIONAL NV,IT,Aktien,"19.519.718,40","0,21","19.519.718,40","35.568,00","548,80",Niederlande,Euronext Amsterdam,EUR,NL0000334118
SAMPO,SAMPO CLASS A,Financials,Aktien,"19.273.577,79","0,21","19.273.577,79","1.921.593,00","10,03",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI4000552500
AMRZ,AMRIZE AG,Materialien,Aktien,"19.103.496,00","0,21","19.103.496,00","415.530,00","45,97",Vereinigte Staaten,SIX Swiss Exchange,CHF,CH1430134226
CAP,CAPGEMINI,IT,Aktien,"18.960.273,60","0,20","18.960.273,60","129.776,00","146,10",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000125338
GALD,GALDERMA GROUP N AG,Gesundheitsversorgung,Aktien,"18.620.339,32","0,20","18.620.339,32","103.693,00","179,57",Schweiz,SIX Swiss Exchange,CHF,CH1335392721
KBC,KBC GROEP,Financials,Aktien,"18.547.041,30","0,20","18.547.041,30","171.573,00","108,10",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0003565737
ERIC B,ERICSSON B,IT,Aktien,"18.407.475,17","0,20","18.407.475,17","2.226.049,00","8,27",Schweden,Nasdaq Omx Nordic,SEK,SE0000108656
UMG,UNIVERSAL MUSIC GROUP NV,Kommunikation,Aktien,"18.280.205,24","0,20","18.280.205,24","843.572,00","21,67",Niederlande,Euronext Amsterdam,EUR,NL0015000IY2
KNEBV,KONE,Industrie,Aktien,"18.250.929,18","0,20","18.250.929,18","310.707,00","58,74",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009013403
AHT,ASHTEAD GROUP PLC,Industrie,Aktien,"18.190.245,34","0,20","18.190.245,34","332.249,00","54,75",Vereinigtes Königreich,London Stock Exchange,GBP,GB0000536739
RYA,RYANAIR HOLDINGS PLC,Industrie,Aktien,"18.060.295,20","0,19","18.060.295,20","640.436,00","28,20",Irland,Irish Stock Exchange - All Market,EUR,IE00BYTBXV33
PGHN,PARTNERS GROUP HOLDING AG,Financials,Aktien,"17.657.308,78","0,19","17.657.308,78","17.299,00","1.020,71",Schweiz,SIX Swiss Exchange,CHF,CH0024608827
VWS,VESTAS WIND SYSTEMS,Industrie,Aktien,"17.517.449,57","0,19","17.517.449,57","782.336,00","22,39",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0061539921
GEBN,GEBERIT AG,Industrie,Aktien,"17.196.622,34","0,19","17.196.622,34","26.300,00","653,86",Schweiz,SIX Swiss Exchange,CHF,CH0030170408
AV.,AVIVA PLC,Financials,Aktien,"17.038.930,34","0,18","17.038.930,34","2.296.003,00","7,42",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BPQY8M80
VOW3,VOLKSWAGEN NON-VOTING PREF AG,Zyklische Konsumgüter ,Aktien,"16.993.695,60","0,18","16.993.695,60","159.117,00","106,80",Deutschland,Xetra,EUR,DE0007664039
HO,THALES SA,Industrie,Aktien,"16.831.188,00","0,18","16.831.188,00","73.821,00","228,00",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000121329
WKL,WOLTERS KLUWER NV,Industrie,Aktien,"16.265.645,52","0,18","16.265.645,52","184.669,00","88,08",Niederlande,Euronext Amsterdam,EUR,NL0000395903
VOD,VODAFONE GROUP PLC,Kommunikation,Aktien,"16.223.617,05","0,17","16.223.617,05","15.004.549,00","1,08",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BH4HKS39
KER,KERING SA,Zyklische Konsumgüter ,Aktien,"15.905.371,20","0,17","15.905.371,20","55.074,00","288,80",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000121485
HEXA B,HEXAGON CLASS B,IT,Aktien,"15.836.387,67","0,17","15.836.387,67","1.577.843,00","10,04",Schweden,Nasdaq Omx Nordic,SEK,SE0015961909
DTG,DAIMLER TRUCK HOLDING E AG,Industrie,Aktien,"15.820.215,06","0,17","15.820.215,06","430.014,00","36,79",Deutschland,Xetra,EUR,DE000DTR0CK8
PUB,PUBLICIS GROUPE SA,Kommunikation,Aktien,"15.653.182,48","0,17","15.653.182,48","181.339,00","86,32",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000130577
STLAM,STELLANTIS NV,Zyklische Konsumgüter ,Aktien,"15.631.859,52","0,17","15.631.859,52","1.537.056,00","10,17",Italien,Borsa Italiana,EUR,NL00150001Q9
FRE,FRESENIUS SE AND CO KGAA,Gesundheitsversorgung,Aktien,"15.420.071,36","0,17","15.420.071,36","320.984,00","48,04",Deutschland,Xetra,EUR,DE0005785604
VIE,VEOLIA ENVIRON. SA,Versorger,Aktien,"15.248.469,60","0,16","15.248.469,60","528.360,00","28,86",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000124141
DNB,DNB BANK,Financials,Aktien,"15.078.897,97","0,16","15.078.897,97","656.313,00","22,98",Norwegen,Oslo Bors Asa,NOK,NO0010161896
LDO,LEONARDO FINMECCANICA SPA,Industrie,Aktien,"15.048.875,52","0,16","15.048.875,52","309.393,00","48,64",Italien,Borsa Italiana,EUR,IT0003856405
HEIA,HEINEKEN NV,Nichtzyklische Konsumgüter,Aktien,"15.012.496,00","0,16","15.012.496,00","220.772,00","68,00",Niederlande,Euronext Amsterdam,EUR,NL0000009165
ML,MICHELIN,Zyklische Konsumgüter ,Aktien,"14.985.174,96","0,16","14.985.174,96","544.124,00","27,54",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR001400AJ45
ACA,CREDIT AGRICOLE SA,Financials,Aktien,"14.822.168,46","0,16","14.822.168,46","867.047,00","17,09",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000045072
SHB A,SVENSKA HANDELSBANKEN-A SHS,Financials,Aktien,"14.677.133,76","0,16","14.677.133,76","1.208.625,00","12,14",Schweden,Nasdaq Omx Nordic,SEK,SE0007100599
