Emittententicker,Name,ISIN
DG,VINCI SA,FR0000125486
NG.,NATIONAL GRID PLC,GB00BDR05C01
LLOY,LLOYDS BANKING GROUP PLC,GB0008706128
PRX,PROSUS NV CLASS N,NL0013654783
REL,RELX PLC,GB00B2B0DG97
DBK,DEUTSCHE BANK AG,DE0005140008
ITX,INDUSTRIA DE DISENO TEXTIL SA,ES0148396007
NWG,NATWEST GROUP PLC,GB00BM8PJY71
BA.,BAE SYSTEMS PLC,GB0002634946
ABI,ANHEUSER-BUSCH INBEV SA,BE0974293251
INVE B,INVESTOR CLASS B,SE0015811963
NDA FI,NORDEA BANK,FI4000297767
GLE,SOCIETE GENERALE SA,FR0000130809
LSEG,LONDON STOCK EXCHANGE GROUP PLC,GB00B0SWJX34
IFX,INFINEON TECHNOLOGIES AG,DE0006231004
BN,DANONE SA,FR0000120644
ARGX,ARGENX,NL0010832176
CPG,COMPASS GROUP PLC,GB00BD6K4575
RKT,RECKITT BENCKISER GROUP PLC,GB00B24CGK77
MBG,MERCEDES-BENZ GROUP N AG,DE0007100000
DHL,DEUTSCHE POST AG,DE0005552004
VOLV B,VOLVO CLASS B,SE0000115446
GLEN,GLENCORE PLC,JE00B4T3BW64
DSV,DSV,DK0060079531
HOLN,HOLCIM LTD AG,CH0012214059
SGO,COMPAGNIE DE SAINT GOBAIN SA,FR0000125007
DB1,DEUTSCHE BOERSE AG,DE0005810055
SREN,SWISS RE AG,CH0126881561
DGE,DIAGEO PLC,GB0002374006
LONN,LONZA GROUP AG,CH0013841017
ENGI,ENGIE SA,FR0010208488
ADYEN,ADYEN NV,NL0012969182
ATCO A,ATLAS COPCO CLASS A,SE0017486889
BAS,BASF N,DE000BASF111
RACE,FERRARI NV,NL0011585146
G,ASSICURAZIONI GENERALI,IT0000062072
STAN,STANDARD CHARTERED PLC,GB0004082847
BAYN,BAYER AG,DE000BAY0017
CABK,CAIXABANK SA,ES0140609019
HLN,HALEON PLC,GB00BMX86B70
AAL,ANGLO AMERICAN PLC,GB00BTK05J60
III,3I GROUP PLC,GB00B1YW4409
EOAN,E.ON N,DE000ENAG999
EXPN,EXPERIAN PLC,GB00B19NLV48
ENI,ENI,IT0003132476
ALC,ALCON AG,CH0432492467
LR,LEGRAND SA,FR0010307819
TSCO,TESCO PLC,GB00BLGZ9862
ASSA B,ASSA ABLOY B,SE0007100581
AD,KONINKLIJKE AHOLD DELHAIZE NV,NL0011794037
PRU,PRUDENTIAL PLC,GB0007099541
UCB,UCB SA,BE0003739530
EBS,ERSTE GROUP BANK AG,AT0000652011
RWE,RWE AG,DE0007037129
IMB,IMPERIAL BRANDS PLC,GB0004544929
GIVN,GIVAUDAN SA,CH0010645932
SAND,SANDVIK,SE0000667891
EQT,EQT,SE0012853455
SDZ,SANDOZ GROUP AG,CH1243598427
FER,FERROVIAL,NL0015001FS8
AMS,AMADEUS IT GROUP SA,ES0109067019
HEI,HEIDELBERG MATERIALS AG,DE0006047004
SEB A,SKANDINAVISKA ENSKILDA BANKEN,SE0000148884
ADS,ADIDAS N AG,DE000A1EWWW0
SIKA,SIKA AG,CH0418792922
NOKIA,NOKIA,FI0009000681
ORA,ORANGE SA,FR0000133308
DANSKE,DANSKE BANK,DK0010274414
BMW,BMW AG,DE0005190003
SSE,SSE PLC,GB0007908733
SLHN,SWISS LIFE HOLDING AG,CH0014852781
CBK,COMMERZBANK AG,DE000CBK1001
SWED A,SWEDBANK,SE0000242455
PRY,PRYSMIAN,IT0004176001
ASM,ASM INTERNATIONAL NV,NL0000334118
SAMPO,SAMPO CLASS A,FI4000552500
AMRZ,AMRIZE AG,CH1430134226
CAP,CAPGEMINI,FR0000125338
GALD,GALDERMA GROUP N AG,CH1335392721
KBC,KBC GROEP,BE0003565737
ERIC B,ERICSSON B,SE0000108656
UMG,UNIVERSAL MUSIC GROUP NV,NL0015000IY2
KNEBV,KONE,FI0009013403
AHT,ASHTEAD GROUP PLC,GB0000536739
RYA,RYANAIR HOLDINGS PLC,IE00BYTBXV33
PGHN,PARTNERS GROUP HOLDING AG,CH0024608827
VWS,VESTAS WIND SYSTEMS,DK0061539921
GEBN,GEBERIT AG,CH0030170408
AV.,AVIVA PLC,GB00BPQY8M80
VOW3,VOLKSWAGEN NON-VOTING PREF AG,DE0007664039
HO,THALES SA,FR0000121329
WKL,WOLTERS KLUWER NV,NL0000395903
VOD,VODAFONE GROUP PLC,GB00BH4HKS39
KER,KERING SA,FR0000121485
HEXA B,HEXAGON CLASS B,SE0015961909
DTG,DAIMLER TRUCK HOLDING E AG,DE000DTR0CK8
PUB,PUBLICIS GROUPE SA,FR0000130577
STLAM,STELLANTIS NV,NL00150001Q9
FRE,FRESENIUS SE AND CO KGAA,DE0005785604
VIE,VEOLIA ENVIRON. SA,FR0000124141
DNB,DNB BANK,NO0010161896
LDO,LEONARDO FINMECCANICA SPA,IT0003856405
HEIA,HEINEKEN NV,NL0000009165
ML,MICHELIN,FR001400AJ45
ACA,CREDIT AGRICOLE SA,FR0000045072
SHB A,SVENSKA HANDELSBANKEN-A SHS,SE0007100599
MTX,MTU AERO ENGINES HOLDING AG,DE000A0D9PT0
REP,REPSOL SA,ES0173516115
A5G,AIB GROUP PLC,IE00BF0L3536
NSIS B,NOVOZYMES B,DK0060336014
PHIA,KONINKLIJKE PHILIPS NV,NL0000009538
NXT,NEXT PLC,GB0032089863
ACS,ACS ACTIVIDADES DE CONSTRUCCION Y,ES0167050915
BMPS,BANCA MONTE DEI PASCHI DI SIENA SP,IT0005508921
SAB,BANCO DE SABADELL SA,ES0113860A34
ABN,ABN AMRO BANK NV,NL0011540547
GMAB,GENMAB,DK0010272202
AENA,AENA SME SA,ES0105046017
IHG,INTERCONTINENTAL HOTELS GROUP PLC,GB00BHJYC057
VNA,VONOVIA SE,DE000A1ML7J1
DSY,DASSAULT SYSTEMES,FR0014003TT8
HBAN,HELVETIA BALOISE HOLDING N AG,CH0466642201
PKO,POWSZECHNA KASA OSZCZEDNOSCI BANK,PLPKO0000016
MT,ARCELORMITTAL SA,LU1598757687
NN,NN GROUP NV,NL0010773842
SGSN,SGS SA,CH1256740924
LGEN,LEGAL AND GENERAL GROUP PLC,GB0005603997
SAAB B,SAAB CLASS B,SE0021921269
WRT1V,WARTSILA,FI0009003727
HNR1,HANNOVER RUECK,DE0008402215
HLMA,HALMA PLC,GB0004052071
SCMN,SWISSCOM AG,CH0008742519
KPN,KONINKLIJKE KPN NV,NL0000009082
BIRG,BANK OF IRELAND GROUP PLC,IE00BD1RP616
LOGN,LOGITECH INTERNATIONAL SA,CH0025751329
MRK,MERCK,DE0006599905
STMMI,STMICROELECTRONICS NV,NL0000226223
BPE,BPER BANCA,IT0000066123
RI,PERNOD RICARD SA,FR0000120693
INF,INFORMA PLC,GB00BMJ6DW54
BAMI,BANCO BPM,IT0005218380
SHL,SIEMENS HEALTHINEERS AG,DE000SHL1006
TEF,TELEFONICA SA,ES0178430E18
EQNR,EQUINOR,NO0010096985
ESSITY B,ESSITY CLASS B,SE0009922164
BAER,JULIUS BAER GRUPPE AG,CH0102484968
ANTO,ANTOFAGASTA PLC,GB0000456144
PKN,ORLEN SA,PLPKN0000018
FBK,FINECOBANK BANCA FINECO,IT0000072170
TRN,TERNA RETE ELETTRICA NAZIONALE,IT0003242622
UPM,UPM-KYMMENE,FI0009005987
MONC,MONCLER,IT0004965148
CLNX,CELLNEX TELECOM SA,ES0105066007
SN.,SMITH AND NEPHEW PLC,GB0009223206
BT.A,BT GROUP PLC,GB0030913577
SCHP,SCHINDLER HOLDING PAR AG,CH0024638196
ALFA,ALFA LAVAL,SE0000695876
DSFIR,DSM FIRMENICH AG,CH1216478797
LISP,CHOCOLADEFABRIKEN LINDT & SPRUENGL,CH0010570767
EPI A,EPIROC CLASS A,SE0015658109
BOL,BOLIDEN,SE0020050417
KRZ,KERRY GROUP PLC,IE0004906560
SGE,THE SAGE GROUP PLC,GB00B8C3BL03
EN,BOUYGUES SA,FR0000120503
FGR,EIFFAGE SA,FR0000130452
VACN,VAT GROUP AG,CH0311864901
COLO B,COLOPLAST B,DK0060448595
SRG,SNAM,IT0003153415
STMN,STRAUMANN HOLDING AG,CH1175448666
KRX,KINGSPAN GROUP PLC,IE0004927939
RTO,RENTOKIL INITIAL PLC,GB00B082RF11
IAG,INTERNATIONAL AIRLINES GROUP SA,ES0177542018
EDP,EDP ENERGIAS DE PORTUGAL SA,PTEDP0AM0009
HEN3,HENKEL & KGAA PREF AG,DE0006048432
SOON,SONOVA HOLDING AG,CH0012549785
SPSN,SWISS PRIME SITE AG,CH0008038389
BESI,BE SEMICONDUCTOR INDUSTRIES NV,NL0012866412
CARL B,CARLSBERG AS CL B,DK0010181759
ELE,ENDESA SA,ES0130670112
CNA,CENTRICA PLC,GB00B033F229
ENX,EURONEXT NV,NL0006294274
KNIN,KUEHNE UND NAGEL INTERNATIONAL AG,CH0025238863
BG,BAWAG GROUP AG,AT0000BAWAG2
URW,UNIBAIL RODAMCO WE STAPLED UNITS,FR0013326246
PST,POSTE ITALIANE,IT0003796171
AC,ACCOR SA,FR0000120404
SGRO,SEGRO REIT PLC,GB00B5ZN1N88
AKZA,AKZO NOBEL NV,NL0013267909
UU.,UNITED UTILITIES GROUP PLC,GB00B39J2M42
METSO,METSO CORPORATION,FI0009014575
ADM,ADMIRAL GROUP PLC,GB00B02J6398
AGS,AGEAS SA,BE0974264930
SY1,SYMRISE AG,DE000SYM9999
KOG,KONGSBERG GRUPPEN,NO0013536151
SMIN,SMITHS GROUP PLC,GB00B1WY2338
BKT,BANKINTER SA,ES0113679I37
MOWI,MOWI,NO0003054108
BVI,BUREAU VERITAS SA,FR0006174348
PZU,PZU SA,PLPZU0000011
MAERSK B,A P MOLLER MAERSK B,DK0010244508
QIA,QIAGEN NV,NL0015002CX3
DPLM,DIPLOMA PLC,GB0001826634
FME,FRESENIUS MEDICAL CARE AG,DE0005785802
CCH,COCA COLA HBC AG,CH0198251305
BEI,BEIERSDORF AG,DE0005200000
BEAN,BELIMO N AG,CH1101098163
EVO,EVOLUTION,SE0012673267
PEO,BANK PEKAO SA,PLPEKAO00016
WEIR,WEIR GROUP PLC,GB0009465807
G1A,GEA GROUP AG,DE0006602006
CA,CARREFOUR SA,FR0000120172
ORSTED,ORSTED A/S,DK0060094928
ITRK,INTERTEK GROUP PLC,GB0031638363
NESTE,NESTE,FI0009013296
FORTUM,FORTUM,FI0009007132
STJ,ST JAMESS PLACE PLC,GB0007669376
BNZL,BUNZL,GB00B0744B38
NHY,NORSK HYDRO,NO0005052605
SVT,SEVERN TRENT PLC,GB00B1FH8J72
MRO,MELROSE INDUSTRIES PLC,GB00BNGDN821
SPIE,SPIE SA,FR0012757854
ALO,ALSTOM SA,FR0010220475
SKA B,SKANSKA B,SE0000113250
KGH,KGHM POLSKA MIEDZ SA,PLKGHM000017
AGN,AEGON LTD,BMG0112X1056
SKF B,SKF B,SE0000108227
ASRNL,ASR NEDERLAND NV,NL0011872643
TELIA,TELIA COMPANY,SE0000667925
ADDT B,ADDTECH CLASS B,SE0014781795
HM B,HENNES & MAURITZ,SE0000106270
TEL,TELENOR,NO0010063308
TEL2 B,TELE2 B,SE0005190238
PSON,PEARSON PLC,GB0006776081
GAW,GAMES WORKSHOP GROUP PLC,GB0003718474
MKS,MARKS AND SPENCER GROUP PLC,GB0031274896
LI,KLEPIERRE REIT SA,FR0000121964
RXL,REXEL SA,FR0010451203
WISE,WISE PLC CLASS A,GB00BL9YR756
RNO,RENAULT SA,FR0000131906
UNI,UNIPOL ASSICURAZIONI SPA,IT0004810054
BCP,BANCO COMERCIAL PORTUGUES SA,PTBCP0AM0015
IMI,IMI PLC,GB00BGLP8L22
ABF,ASSOCIATED BRITISH FOODS PLC,GB0006731235
MNG,M&G PLC,GB00BKFB1C65
TREL B,TRELLEBORG B,SE0000114837
BAB,BABCOCK INTERNATIONAL GROUP PLC,GB0009697037
ORK,ORKLA,NO0003733800
HEIO,HEINEKEN HOLDING NV,NL0000008977
LIFCO B,LIFCO CLASS B,SE0015949201
SOBI,SWEDISH ORPHAN BIOVITRUM,SE0000872095
PNDORA,PANDORA,DK0060252690
ACLN,ACCELLERON N AG,CH1169360919
TRYG,TRYG,DK0060636678
PSPN,PSP SWISS PROPERTY AG,CH0018294154
CON,CONTINENTAL AG,DE0005439004
PAH3,PORSCHE AUTOMOBIL HOLDING PREF,DE000PAH0038
ERF,EUROFINS SCIENTIFIC,FR0014000MR3
ICG,ICG PLC,GB00BYT1DJ19
TLX,TALANX AG,DE000TLX1005
EXO,EXOR NV,NL0012059018
G24,SCOUT24 N,DE000A12DM80
OMV,OMV AG,AT0000743059
MICC,MAGNUM ICE CREAM COMPANY NPV,NL0015002MS2
HOT,HOCHTIEF AG,DE0006070006
SECU B,SECURITAS B,SE0000163594
PHNX,PHOENIX GROUP HOLDINGS PLC,GB00BGXQNP29
ORNBV,ORION CLASS B,FI0009014377
SBRY,SAINSBURY(J) PLC,GB00B019KW72
GALP,GALP ENERGIA SGPS SA CLASS B,PTGAL0AM0009
KGF,KINGFISHER PLC,GB0033195214
AKRBP,AKER BP,NO0010345853
SRT3,SARTORIUS PREF AG,DE0007165631
STERV,STORA ENSO CLASS R,FI0009005961
GTT,GAZTRANSPORT & TECHNIGAZ SA,FR0011726835
GBLB,GROUPE BRUXELLES LAMBERT NV,BE0003797140
KCR,KONECRANES,FI0009005870
DIM,SARTORIUS STEDIM BIOTECH SA,FR0013154002
NKT,NKT,DK0010287663
TEN,TENARIS SA,LU2598331598
SCA B,SVENSKA CELLULOSA B,SE0000112724
BNR,BRENNTAG,DE000A1DAHH0
KBX,KNORR BREMSE AG,DE000KBX1006
IG,ITALGAS,IT0005211237
AUTO,AUTO TRADER GROUP PLC,GB00BVYVFW23
STB,STOREBRAND,NO0003053605
BTRW,BARRATT REDROW PLC,GB0000811801
ELISA,ELISA,FI0009007884
TIT,TELECOM ITALIA,IT0003497168
NEM,NEMETSCHEK,DE0006452907
INDU C,INDUSTRIVARDEN SERIES,SE0000107203
DCC,DCC PLC,IE0002424939
BEIJ B,BEIJER REF CLASS B,SE0015949748
INDT,INDUTRADE,SE0001515552
FRES,FRESNILLO PLC,GB00B2QPKJ12
JMT,JERONIMO MARTINS SA,PTJMT0AE0001
ZAL,ZALANDO,DE000ZAL1111
ALE,ALLEGRO SA,LU2237380790
LTMC,LOTTOMATICA GROUP,IT0005541336
SQN,SWISSQUOTE GROUP HOLDING SA,CH0010675863
BEZ,BEAZLEY PLC,GB00BYQ0JC66
ABVX,ABIVAX SA,FR0012333284
AVOL,AVOLTA AG,CH0023405456
YAR,YARA INTERNATIONAL,NO0010208051
SPX,SPIRAX GROUP PLC,GB00BWFGQN14
HSX,HISCOX LTD,BMG4593F1389
ENT,ENTAIN PLC,IM00B5VQMV65
REC,RECORDATI INDUSTRIA CHIMICA E FARM,IT0003828271
AM,DASSAULT AVIATION SA,FR0014004L86
IGG,IG GROUP HOLDINGS PLC,GB00B06QFB75
FHZN,FLUGHAFEN ZUERICH AG,CH0319416936
KESKOB,KESKO CLASS B,FI0009000202
GALE,GALENICA AG,CH0360674466
LPP,LPP SA,PLLPP0000011
BIM,BIOMERIEUX SA,FR0013280286
LAND,LAND SECURITIES GROUP REIT PLC,GB00BYW0PQ60
RILBA,RINGKJOBING LANDBOBANK,DK0060854669
HWDN,HOWDEN JOINERY GROUP PLC,GB0005576813
KGX,KION GROUP AG,DE000KGX8881
SYENS,SYENSQO NV,BE0974464977
BRBY,BURBERRY GROUP PLC,GB0031743007
LHA,DEUTSCHE LUFTHANSA AG,DE0008232125
DHER,DELIVERY HERO,DE000A2E4K43
P911,DR ING HC F PORSCHE PRF AG,DE000PAG9113
ELI,ELIA GROUP SA,BE0003822393
JDEP,JDE PEETS NV,NL0014332678
GJF,GJENSIDIGE FORSIKRING,NO0010582521
UHR,THE SWATCH GROUP AG,CH0012255151
PSN,PERSIMMON PLC,GB0006825383
RMV,RIGHTMOVE PLC,GB00BGDT3G23
R3NK,RENK GROUP AG,DE000RENK730
BBY,BALFOUR BEATTY PLC,GB0000961622
EVD,CTS EVENTIM AG,DE0005470306
ACKB,ACKERMANS & VAN HAAREN NV,BE0003764785
NIBE B,NIBE INDUSTRIER CLASS B,SE0015988019
WTB,WHITBREAD PLC,GB00B1KJJ408
JYSK,JYSKE BANK,DK0010307958
NEX,NEXANS SA,FR0000044448
MRL,MERLIN PROPERTIES REIT SA,ES0105025003
IPN,IPSEN SA,FR0010259150
DNP,DINO POLSKA SA,PLDINPL00011
RBI,RAIFFEISEN BANK INTERNATIONAL AG,AT0000606306
GET,GETLINK,FR0010533075
BLND,BRITISH LAND REIT PLC,GB0001367019
EDEN,EDENRED,FR0010908533
LEG,LEG IMMOBILIEN N,DE000LEG1110
AAK,AAK,SE0011337708
ISS,ISS A S,DK0060542181
TUB,FINANCIERE DE TUBIZE SA,BE0003823409
BARN,BARRY CALLEBAUT AG,CH0009002962
SPL,SANTANDER BANK POLSKA SA,PLBZ00000044
RED,REDEIA CORPORACION SA,ES0173093024
VOE,VOESTALPINE AG,AT0000937503
BZU,BUZZI,IT0001347308
ANA,ACCIONA SA,ES0125220311
TKA,THYSSENKRUPP AG,DE0007500001
IMCD,IMCD NV,NL0010801007
CTEC,CONVATEC GROUP PLC,GB00BD3VFW73
TEMN,TEMENOS AG,CH0012453913
ZEAL,ZEALAND PHARMA,DK0060257814
SAVE,NORDNET,SE0015192067
IDR,INDRA SISTEMAS SA,ES0118594417
HAG,HENSOLDT AG,DE000HAG0005
BKG,BERKELEY GROUP HOLDINGS (THE) PLC,GB00BP0RGD03
AZA,AVANZA BANK HOLDING,SE0012454072
TE,TECHNIP ENERGIES NV,NL0014559478
SCR,SCOR,FR0010411983
SDR,SCHRODERS PLC,GB00BP9LHF23
AMUN,AMUNDI SA,FR0004125920
GETI B,GETINGE B,SE0000202624
SUBC,SUBSEA SA,LU0075646355
CAST,CASTELLUM,SE0000379190
VER,VERBUND AG,AT0000746409
ALSYDB,AL SYDBANK,DK0010311471
SSAB B,SSAB CLASS B,SE0000120669
GF,GEORG FISCHER AG,CH1169151003
SOF,SOFINA SA,BE0003717312
BALD B,FASTIGHETS BALDER CLASS B,SE0017832488
VEND,VEND MARKETPLACES ASA,NO0010736879
BMED,BANCA MEDIOLANUM,IT0004776628
SAGA B,SAGAX CLASS B,SE0005127818
TW.,TAYLOR WIMPEY PLC,GB0008782301
ELIS,ELIS SA,FR0012435121
LMP,LONDONMETRIC PROPERTY REIT PLC,GB00B4WFW713
WDP,WAREHOUSES DE PAUW NV,BE0974349814
ANDR,ANDRITZ AG,AT0000730007
ABDN,ABERDEEN GROUP PLC,GB00BF8Q6K64
VALMT,VALMET,FI4000074984
EMSN,EMS-CHEMIE HOLDING AG,CH0016440353
ALK B,ALK-ABELLO CLASS B,DK0061802139
IP,INTERPUMP GROUP,IT0001078911
CRDA,CRODA INTERNATIONAL PLC,GB00BJFFLV09
SALM,SALMAR,NO0010310956
JMAT,JOHNSON MATTHEY PLC,GB00BZ4BQC70
CDR,CD PROJEKT SA,PLOPTTC00011
SECT B,SECTRA CLASS B,SE0022419784
AZM,AZIMUT HOLDING,IT0003261697
WPP,WPP PLC,JE00B8KF9B49
A2A,A2A,IT0001233417
MNDI,MONDI PLC,GB00BMWC6P49
SW,SODEXO SA,FR0000121220
BGEO,LION FINANCE GROUP PLC,GB00BF4HYT85
ADEN,ADECCO GROUP AG,CH0012138605
MAP,MAPFRE SA,ES0124244E34
SB1NO,SPAREBANK SR-NORGE,NO0010631567
GFC,GECINA SA,FR0010040865
BC8,BECHTLE AG,DE0005158703
BKW,BKW N AG,CH0130293662
EDPR,EDP RENOVAVEIS SA,ES0127797019
LUND B,LUNDBERGFORETAGEN CLASS B,SE0000108847
CVC,CVC CAPITAL PARTNERS PLC,JE00BRX98089
LAGR B,LAGERCRANTZ GROUP CLASS B,SE0014990966
FNTN,FREENET AG,DE000A0Z2ZZ5
ITV,ITV PLC,GB0033986497
TUI1,TUI N AG,DE000TUAG505
IVG,IVECO GROUP NV,NL0015000LU4
ALLN,ALLREAL HOLDING AG,CH0008837566
BBOX,TRITAX BIG BOX REIT PLC,GB00BG49KP99
NDX1,NORDEX,DE000A0D6554
INCH,INCHCAPE PLC,GB00B61TVQ02
NTGY,NATURGY ENERGY GROUP SA,ES0116870314
ZEG,ZEGONA COMMUNICATIONS PLC,GB00BVGBY890
HER,HERA,IT0001250932
AG1,AUTO1 GROUP,DE000A2LQ884
BC,BRUNELLO CUCINELLI,IT0004764699
BWY,BELLWAY PLC,GB0000904986
RAA,RATIONAL AG,DE0007010803
CPR,DAVIDE CAMPARI MILANO NV,NL0015435975
BOL,BOLLORE,FR0000039299
GBF,BILFINGER,DE0005909006
SRP,SERCO GROUP PLC,GB0007973794
INVP,INVESTEC PLC,GB00B17BBQ50
GRF,GRIFOLS SA CLASS A,ES0171996087
NDA,AURUBIS AG,DE0006766504
SBMO,SBM OFFSHORE NV,NL0000360618
SPM,SAIPEM,IT0005495657
RAND,RANDSTAD HOLDING,NL0000379121
DRX,DRAX GROUP PLC,GB00B1VNSX38
TEP,TELEPERFORMANCE,FR0000051807
BGN,BANCA GENERALI,IT0001031084
LOTB,LOTUS BAKERIES NV,BE0003604155
SWEC B,SWECO CLASS B,SE0014960373
ENG,ENAGAS SA,ES0130960018
AKE,ARKEMA SA,FR0010313833
EVK,EVONIK INDUSTRIES AG,DE000EVNK013
PNN,PENNON GROUP PLC,GB00BNNTLN49
AYV,AYVENS SA,FR0013258662
RS1,RS GROUP PLC,GB0003096442
SFZN,SIEGFRIED HOLDING AG,CH1429326825
EMG,MAN GROUP PLC,JE00BJ1DLW90
AED,AEDIFICA NV,BE0003851681
SIGN,SIG GROUP N AG,CH0435377954
CWK,CRANSWICK PLC,GB0002318888
DIE,DIETEREN (D) SA,BE0974259880
COFB,COFINIMMO REIT SA,BE0003593044
MANTA,MANDATUM,FI4000552526
WIE,WIENERBERGER AG,AT0000831706
MYCR,MYCRONIC,SE0025158629
ROR,ROTORK PLC,GB00BVFNZH21
HUH1V,HUHTAMAKI,FI0009000459
ALLFG,ALLFUNDS GROUP PLC,GB00BNTJ3546
COV,COVIVIO SA,FR0000064578
FTK,FLATEXDEGIRO N AG,DE000FTG1111
LATO B,LATOUR INVESTMENT CLASS B,SE0010100958
PLUS,PLUS500 LTD,IL0011284465
RUI,RUBIS,FR0013269123
REY,REPLY,IT0005282865
SUNN,SUNRISE N CLASS A AG,CH1386220409
RBREW,ROYAL UNIBREW,DK0060634707
MBK,MBANK SA,PLBRE0000012
KBCA,KBC ANCORA NV,BE0003867844
CMBN,CEMBRA MONEY BANK LTD,CH0225173167
CCL,CARNIVAL PLC,GB0031215220
UMI,UMICORE SA,BE0974320526
BCVN,BC VAUD N,CH0531751755
TEG,TAG IMMOBILIEN AG,DE0008303504
MOBN,MOBIMO HOLDING AG,CH0011108872
AALB,AALBERTS NV,NL0000852564
ARCAD,ARCADIS NV,NL0006237562
FDJU,FDJ UNITED,FR0013451333
HOLM B,HOLMEN CLASS B,SE0011090018
GL9,GLANBIA PLC,IE0000669501
NEXI,NEXI,IT0005366767
HIK,HIKMA PHARMACEUTICALS PLC,GB00B0LCW083
RF,EURAZEO,FR0000121121
DEMANT,DEMANT,DK0060738599
ROCK B,ROCKWOOL CLASS B,DK0063855168
FRO,FRONTLINE,CY0200352116
ADP,AEROPORTS DE PARIS SA,FR0010340141
QQ.,QINETIQ GROUP PLC,GB00B0WMWD03
LIGHT,SIGNIFY NV,NL0011821392
SUN,SULZER AG,CH0038388911
INPST,INPOST SA,LU2290522684
UNI,UNICAJA BANCO SA,ES0180907000
THULE,THULE GROUP,SE0006422390
AXFO,AXFOOD,SE0006993770
VZN,VZ HOLDING AG,CH0528751586
VAR,VAR ENERGI,NO0011202772
TOM,TOMRA SYSTEMS,NO0012470089
VK,VALLOUREC SA,FR0013506730
FR,VALEO,FR0013176526
LOOMIS,LOOMIS CLASS B,SE0014504817
PHP,PRIMARY HEALTH PROPERTIES REIT PLC,GB00BYRJ5J14
FRA,FRAPORT FRANKFURT AIRPORT SERVICES,DE0005773303
INW,INFRASTRUTTURE WIRELESS ITALIANE,IT0005090300
FPE3,FUCHS PREF,DE000A3E5D64
VIS,VISCOFAN SA,ES0184262212
BYG,BIG YELLOW GROUP PLC,GB0002869419
SHC,SHAFTESBURY CAPITAL PLC,GB00B62G9D36
CDI,CHRISTIAN DIOR,FR0000130403
AMBU B,AMBU CLASS B,DK0060946788
TCAP,TP ICAP GROUP PLC,JE00BMDZN391
KEMIRA,KEMIRA,FI0009004824
JD.,JD SPORTS FASHION PLC,GB00BM8Q5M07
VID,VIDRALA SA,ES0183746314
AMV0,AUMOVIO N,DE000AUM0V10
FLS,FLSMIDTH AND CO CLASS B,DK0010234467
CAMX,CAMURUS,SE0007692850
VTY,VISTRY GROUP PLC,GB0001859296
BUCN,BUCHER INDUSTRIES AG,CH0002432174
UTG,UNITE GROUP PLC,GB0006928617
BPT,BRIDGEPOINT GROUP PLC,GB00BND88V85
TBCG,TBC BANK GROUP PLC,GB00BYT18307
VPK,KONINKLIJKE VOPAK NV,NL0009432491
PUM,PUMA,DE0006969603
GFTU,GRAFTON GROUP PLC,IE00B00MZ448
WIHL,WIHLBORGS FASTIGHETER,SE0018012635
SCT,SOFTCAT PLC,GB00BYZDVK82
GRG,GREGGS PLC,GB00B63QSB39
EZJ,EASYJET PLC,GB00B7KR2P84
ATE,ALTEN SA,FR0000071946
