Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung,ISIN
CON,CONTINENTAL AG,Zyklische Konsumgüter ,Aktien,"5.225.795,52","0,06","5.225.795,52","81.348,00","64,24",Deutschland,Xetra,EUR,DE0005439004
OMV,OMV AG,Energie,Aktien,"5.214.136,20","0,06","5.214.136,20","108.402,00","48,10",Österreich,Wiener Boerse Ag,EUR,AT0000743059
GBP,GBP CASH,Cash und/oder Derivate,Geldmarkt,"5.201.708,70","0,06","5.201.708,70","4.557.763,00","114,13",Vereinigtes Königreich,-,GBP,
KGH,KGHM POLSKA MIEDZ SA,Materialien,Aktien,"5.183.697,35","0,06","5.183.697,35","106.992,00","48,45",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,PLKGHM000017
BAB,BABCOCK INTERNATIONAL GROUP PLC,Industrie,Aktien,"5.173.735,74","0,06","5.173.735,74","400.464,00","12,92",Vereinigtes Königreich,London Stock Exchange,GBP,GB0009697037
ACLN,ACCELLERON N AG,Industrie,Aktien,"5.169.415,72","0,06","5.169.415,72","76.436,00","67,63",Schweiz,SIX Swiss Exchange,CHF,CH1169360919
SBRY,SAINSBURY(J) PLC,Nichtzyklische Konsumgüter,Aktien,"5.153.113,65","0,06","5.153.113,65","1.379.946,00","3,73",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B019KW72
PHNX,PHOENIX GROUP HOLDINGS PLC,Financials,Aktien,"5.113.611,85","0,05","5.113.611,85","648.888,00","7,88",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BGXQNP29
SECU B,SECURITAS B,Industrie,Aktien,"5.111.430,54","0,05","5.111.430,54","391.876,00","13,04",Schweden,Nasdaq Omx Nordic,SEK,SE0000163594
ORNBV,ORION CLASS B,Gesundheitsversorgung,Aktien,"5.017.343,05","0,05","5.017.343,05","82.319,00","60,95",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009014377
BTRW,BARRATT REDROW PLC,Zyklische Konsumgüter ,Aktien,"4.965.166,94","0,05","4.965.166,94","1.108.691,00","4,48",Vereinigtes Königreich,London Stock Exchange,GBP,GB0000811801
AUTO,AUTO TRADER GROUP PLC,Kommunikation,Aktien,"4.920.117,30","0,05","4.920.117,30","671.082,00","7,33",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BVYVFW23
KGF,KINGFISHER PLC,Zyklische Konsumgüter ,Aktien,"4.894.171,66","0,05","4.894.171,66","1.414.346,00","3,46",Vereinigtes Königreich,London Stock Exchange,GBP,GB0033195214
GBLB,GROUPE BRUXELLES LAMBERT NV,Financials,Aktien,"4.818.551,25","0,05","4.818.551,25","65.425,00","73,65",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0003797140
IG,ITALGAS,Versorger,Aktien,"4.779.630,50","0,05","4.779.630,50","497.619,00","9,61",Italien,Borsa Italiana,EUR,IT0005211237
AKRBP,AKER BP,Energie,Aktien,"4.767.272,20","0,05","4.767.272,20","230.918,00","20,64",Norwegen,Oslo Bors Asa,NOK,NO0010345853
BNR,BRENNTAG,Industrie,Aktien,"4.730.526,29","0,05","4.730.526,29","96.719,00","48,91",Deutschland,Xetra,EUR,DE000A1DAHH0
ELISA,ELISA,Kommunikation,Aktien,"4.694.993,10","0,05","4.694.993,10","121.695,00","38,58",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009007884
NEM,NEMETSCHEK,IT,Aktien,"4.664.670,30","0,05","4.664.670,30","49.677,00","93,90",Deutschland,Xetra,EUR,DE0006452907
JMT,JERONIMO MARTINS SA,Nichtzyklische Konsumgüter,Aktien,"4.662.453,32","0,05","4.662.453,32","221.179,00","21,08",Portugal,Nyse Euronext - Euronext Lisbon,EUR,PTJMT0AE0001
STERV,STORA ENSO CLASS R,Materialien,Aktien,"4.661.339,51","0,05","4.661.339,51","465.901,00","10,01",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009005961
HOT,HOCHTIEF AG,Industrie,Aktien,"4.640.417,60","0,05","4.640.417,60","15.386,00","301,60",Deutschland,Xetra,EUR,DE0006070006
SRT3,SARTORIUS PREF AG,Gesundheitsversorgung,Aktien,"4.623.918,50","0,05","4.623.918,50","19.115,00","241,90",Deutschland,Xetra,EUR,DE0007165631
TEN,TENARIS SA,Energie,Aktien,"4.618.338,15","0,05","4.618.338,15","268.430,00","17,20",Italien,Borsa Italiana,EUR,LU2598331598
SCA B,SVENSKA CELLULOSA B,Materialien,Aktien,"4.585.548,84","0,05","4.585.548,84","416.823,00","11,00",Schweden,Nasdaq Omx Nordic,SEK,SE0000112724
NKT,NKT,Industrie,Aktien,"4.578.644,57","0,05","4.578.644,57","43.813,00","104,50",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0010287663
KCR,KONECRANES,Industrie,Aktien,"4.549.860,00","0,05","4.549.860,00","52.752,00","86,25",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009005870
GTT,GAZTRANSPORT & TECHNIGAZ SA,Energie,Aktien,"4.516.892,70","0,05","4.516.892,70","26.461,00","170,70",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0011726835
INDU C,INDUSTRIVARDEN SERIES,Financials,Aktien,"4.509.468,21","0,05","4.509.468,21","123.584,00","36,49",Schweden,Nasdaq Omx Nordic,SEK,SE0000107203
KBX,KNORR BREMSE AG,Industrie,Aktien,"4.469.451,30","0,05","4.469.451,30","50.847,00","87,90",Deutschland,Xetra,EUR,DE000KBX1006
DIM,SARTORIUS STEDIM BIOTECH SA,Gesundheitsversorgung,Aktien,"4.447.122,40","0,05","4.447.122,40","22.136,00","200,90",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0013154002
ALE,ALLEGRO SA,Zyklische Konsumgüter ,Aktien,"4.434.638,52","0,05","4.434.638,52","585.915,00","7,57",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,LU2237380790
STB,STOREBRAND,Financials,Aktien,"4.403.414,88","0,05","4.403.414,88","328.962,00","13,39",Norwegen,Oslo Bors Asa,NOK,NO0003053605
SQN,SWISSQUOTE GROUP HOLDING SA,Financials,Aktien,"4.396.319,42","0,05","4.396.319,42","8.412,00","522,62",Schweiz,SIX Swiss Exchange,CHF,CH0010675863
DCC,DCC PLC,Industrie,Aktien,"4.361.827,54","0,05","4.361.827,54","77.178,00","56,52",Vereinigtes Königreich,London Stock Exchange,GBP,IE0002424939
REC,RECORDATI INDUSTRIA CHIMICA E FARM,Gesundheitsversorgung,Aktien,"4.354.377,00","0,05","4.354.377,00","86.140,00","50,55",Italien,Borsa Italiana,EUR,IT0003828271
WTB,WHITBREAD PLC,Zyklische Konsumgüter ,Aktien,"4.340.080,74","0,05","4.340.080,74","134.043,00","32,38",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B1KJJ408
BEZ,BEAZLEY PLC,Financials,Aktien,"4.337.591,29","0,05","4.337.591,29","476.268,00","9,11",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BYQ0JC66
BEIJ B,BEIJER REF CLASS B,Industrie,Aktien,"4.330.556,08","0,05","4.330.556,08","319.342,00","13,56",Schweden,Nasdaq Omx Nordic,SEK,SE0015949748
INDT,INDUTRADE,Industrie,Aktien,"4.317.405,90","0,05","4.317.405,90","203.791,00","21,19",Schweden,Nasdaq Omx Nordic,SEK,SE0001515552
ZAL,ZALANDO,Zyklische Konsumgüter ,Aktien,"4.292.073,52","0,05","4.292.073,52","186.937,00","22,96",Deutschland,Xetra,EUR,DE000ZAL1111
PAH3,PORSCHE AUTOMOBIL HOLDING PREF,Zyklische Konsumgüter ,Aktien,"4.287.220,60","0,05","4.287.220,60","116.818,00","36,70",Deutschland,Xetra,EUR,DE000PAH0038
LTMC,LOTTOMATICA GROUP,Zyklische Konsumgüter ,Aktien,"4.255.875,36","0,05","4.255.875,36","198.132,00","21,48",Italien,Borsa Italiana,EUR,IT0005541336
TIT,TELECOM ITALIA,Kommunikation,Aktien,"4.225.029,75","0,05","4.225.029,75","8.436.561,00","0,50",Italien,Borsa Italiana,EUR,IT0003497168
HSX,HISCOX LTD,Financials,Aktien,"4.168.338,73","0,04","4.168.338,73","275.024,00","15,16",Vereinigtes Königreich,London Stock Exchange,GBP,BMG4593F1389
SPX,SPIRAX GROUP PLC,Industrie,Aktien,"4.164.662,63","0,04","4.164.662,63","53.901,00","77,27",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BWFGQN14
ENT,ENTAIN PLC,Zyklische Konsumgüter ,Aktien,"4.139.906,97","0,04","4.139.906,97","469.628,00","8,82",Vereinigtes Königreich,London Stock Exchange,GBP,IM00B5VQMV65
BIM,BIOMERIEUX SA,Gesundheitsversorgung,Aktien,"4.131.050,00","0,04","4.131.050,00","37.555,00","110,00",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0013280286
FRES,FRESNILLO PLC,Materialien,Aktien,"4.124.562,07","0,04","4.124.562,07","138.785,00","29,72",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B2QPKJ12
LAND,LAND SECURITIES GROUP REIT PLC,Immobilien,Aktien,"4.089.872,24","0,04","4.089.872,24","585.072,00","6,99",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BYW0PQ60
ABVX,ABIVAX SA,Gesundheitsversorgung,Aktien,"4.071.085,20","0,04","4.071.085,20","36.414,00","111,80",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0012333284
LPP,LPP SA,Zyklische Konsumgüter ,Aktien,"3.995.771,43","0,04","3.995.771,43","977,00","4.089,84",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,PLLPP0000011
HWDN,HOWDEN JOINERY GROUP PLC,Industrie,Aktien,"3.988.386,25","0,04","3.988.386,25","419.022,00","9,52",Vereinigtes Königreich,London Stock Exchange,GBP,GB0005576813
YAR,YARA INTERNATIONAL,Materialien,Aktien,"3.988.681,13","0,04","3.988.681,13","128.645,00","31,01",Norwegen,Oslo Bors Asa,NOK,NO0010208051
AM,DASSAULT AVIATION SA,Industrie,Aktien,"3.986.203,00","0,04","3.986.203,00","14.885,00","267,80",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0014004L86
KESKOB,KESKO CLASS B,Nichtzyklische Konsumgüter,Aktien,"3.973.502,50","0,04","3.973.502,50","217.250,00","18,29",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI0009000202
FHZN,FLUGHAFEN ZUERICH AG,Industrie,Aktien,"3.960.405,39","0,04","3.960.405,39","15.370,00","257,67",Schweiz,SIX Swiss Exchange,CHF,CH0319416936
SYENS,SYENSQO NV,Materialien,Aktien,"3.942.150,30","0,04","3.942.150,30","56.397,00","69,90",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0974464977
IGG,IG GROUP HOLDINGS PLC,Financials,Aktien,"3.929.666,27","0,04","3.929.666,27","303.365,00","12,95",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B06QFB75
GALE,GALENICA AG,Gesundheitsversorgung,Aktien,"3.919.746,90","0,04","3.919.746,90","40.309,00","97,24",Schweiz,SIX Swiss Exchange,CHF,CH0360674466
ELI,ELIA GROUP SA,Versorger,Aktien,"3.915.098,40","0,04","3.915.098,40","37.937,00","103,20",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0003822393
USD,USD CASH,Cash und/oder Derivate,Geldmarkt,"3.910.928,30","0,04","3.910.928,30","4.532.766,00","86,28",Vereinigte Staaten,-,USD,
AVOL,AVOLTA AG,Zyklische Konsumgüter ,Aktien,"3.884.368,63","0,04","3.884.368,63","83.495,00","46,52",Schweiz,SIX Swiss Exchange,CHF,CH0023405456
RILBA,RINGKJOBING LANDBOBANK,Financials,Aktien,"3.881.134,69","0,04","3.881.134,69","19.977,00","194,28",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0060854669
BRBY,BURBERRY GROUP PLC,Zyklische Konsumgüter ,Aktien,"3.870.601,32","0,04","3.870.601,32","283.210,00","13,67",Vereinigtes Königreich,London Stock Exchange,GBP,GB0031743007
UHR,THE SWATCH GROUP AG,Zyklische Konsumgüter ,Aktien,"3.842.155,22","0,04","3.842.155,22","21.393,00","179,60",Schweiz,SIX Swiss Exchange,CHF,CH0012255151
EVD,CTS EVENTIM AG,Kommunikation,Aktien,"3.820.078,40","0,04","3.820.078,40","46.192,00","82,70",Deutschland,Xetra,EUR,DE0005470306
JDEP,JDE PEETS NV,Nichtzyklische Konsumgüter,Aktien,"3.813.957,00","0,04","3.813.957,00","121.078,00","31,50",Niederlande,Euronext Amsterdam,EUR,NL0014332678
SXS,SPECTRIS PLC,IT,Aktien,"3.770.071,90","0,04","3.770.071,90","79.907,00","47,18",Vereinigtes Königreich,London Stock Exchange,GBP,GB0003308607
RMV,RIGHTMOVE PLC,Kommunikation,Aktien,"3.734.107,49","0,04","3.734.107,49","607.021,00","6,15",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BGDT3G23
BARN,BARRY CALLEBAUT AG,Nichtzyklische Konsumgüter,Aktien,"3.701.189,94","0,04","3.701.189,94","2.732,00","1.354,75",Schweiz,SIX Swiss Exchange,CHF,CH0009002962
P911,DR ING HC F PORSCHE PRF AG,Zyklische Konsumgüter ,Aktien,"3.689.314,40","0,04","3.689.314,40","83.620,00","44,12",Deutschland,Xetra,EUR,DE000PAG9113
PSN,PERSIMMON PLC,Zyklische Konsumgüter ,Aktien,"3.686.275,48","0,04","3.686.275,48","248.170,00","14,85",Vereinigtes Königreich,London Stock Exchange,GBP,GB0006825383
KGX,KION GROUP AG,Industrie,Aktien,"3.664.250,00","0,04","3.664.250,00","58.628,00","62,50",Deutschland,Xetra,EUR,DE000KGX8881
DNP,DINO POLSKA SA,Nichtzyklische Konsumgüter,Aktien,"3.655.512,54","0,04","3.655.512,54","369.942,00","9,88",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,PLDINPL00011
LEG,LEG IMMOBILIEN N,Immobilien,Aktien,"3.647.173,25","0,04","3.647.173,25","56.327,00","64,75",Deutschland,Xetra,EUR,DE000LEG1110
GJF,GJENSIDIGE FORSIKRING,Financials,Aktien,"3.643.239,35","0,04","3.643.239,35","154.192,00","23,63",Norwegen,Oslo Bors Asa,NOK,NO0010582521
IPN,IPSEN SA,Gesundheitsversorgung,Aktien,"3.639.750,00","0,04","3.639.750,00","29.118,00","125,00",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0010259150
MSIFT,CASH COLLATERAL EUR MSIFT,Cash und/oder Derivate,Cash Collateral and Margins,"3.637.000,00","0,04","3.637.000,00","3.637.000,00","100,00",Europäische Union,-,EUR,
MRL,MERLIN PROPERTIES REIT SA,Immobilien,Aktien,"3.621.499,00","0,04","3.621.499,00","290.650,00","12,46",Spanien,Bolsa De Madrid,EUR,ES0105025003
BLND,BRITISH LAND REIT PLC,Immobilien,Aktien,"3.617.638,83","0,04","3.617.638,83","799.645,00","4,52",Vereinigtes Königreich,London Stock Exchange,GBP,GB0001367019
IMCD,IMCD NV,Industrie,Aktien,"3.610.291,10","0,04","3.610.291,10","45.527,00","79,30",Niederlande,Euronext Amsterdam,EUR,NL0010801007
ISS,ISS A S,Industrie,Aktien,"3.586.058,61","0,04","3.586.058,61","126.215,00","28,41",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0060542181
BBY,BALFOUR BEATTY PLC,Industrie,Aktien,"3.569.407,27","0,04","3.569.407,27","456.241,00","7,82",Vereinigtes Königreich,London Stock Exchange,GBP,GB0000961622
GET,GETLINK,Industrie,Aktien,"3.557.752,47","0,04","3.557.752,47","231.173,00","15,39",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0010533075
SPL,SANTANDER BANK POLSKA SA,Financials,Aktien,"3.554.252,12","0,04","3.554.252,12","29.145,00","121,95",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,PLBZ00000044
BZU,BUZZI,Materialien,Aktien,"3.546.723,60","0,04","3.546.723,60","66.232,00","53,55",Italien,Borsa Italiana,EUR,IT0001347308
EDEN,EDENRED,Financials,Aktien,"3.518.363,94","0,04","3.518.363,94","191.841,00","18,34",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0010908533
LHA,DEUTSCHE LUFTHANSA AG,Industrie,Aktien,"3.498.633,15","0,04","3.498.633,15","426.975,00","8,19",Deutschland,Xetra,EUR,DE0008232125
ZEAL,ZEALAND PHARMA,Gesundheitsversorgung,Aktien,"3.493.728,70","0,04","3.493.728,70","48.627,00","71,85",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0060257814
AAK,AAK,Nichtzyklische Konsumgüter,Aktien,"3.486.440,80","0,04","3.486.440,80","144.182,00","24,18",Schweden,Nasdaq Omx Nordic,SEK,SE0011337708
JYSK,JYSKE BANK,Financials,Aktien,"3.482.690,72","0,04","3.482.690,72","32.718,00","106,45",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0010307958
TE,TECHNIP ENERGIES NV,Energie,Aktien,"3.479.356,00","0,04","3.479.356,00","102.334,00","34,00",Frankreich,Nyse Euronext - Euronext Paris,EUR,NL0014559478
CTEC,CONVATEC GROUP PLC,Gesundheitsversorgung,Aktien,"3.473.559,94","0,04","3.473.559,94","1.292.927,00","2,69",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BD3VFW73
ACKB,ACKERMANS & VAN HAAREN NV,Industrie,Aktien,"3.458.800,80","0,04","3.458.800,80","15.837,00","218,40",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0003764785
TKA,THYSSENKRUPP AG,Materialien,Aktien,"3.439.394,29","0,04","3.439.394,29","376.631,00","9,13",Deutschland,Xetra,EUR,DE0007500001
NIBE B,NIBE INDUSTRIER CLASS B,Industrie,Aktien,"3.424.043,95","0,04","3.424.043,95","1.119.699,00","3,06",Schweden,Nasdaq Omx Nordic,SEK,SE0015988019
NEX,NEXANS SA,Industrie,Aktien,"3.419.478,90","0,04","3.419.478,90","27.733,00","123,30",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000044448
RED,REDEIA CORPORACION SA,Versorger,Aktien,"3.407.084,94","0,04","3.407.084,94","223.269,00","15,26",Spanien,Bolsa De Madrid,EUR,ES0173093024
RBI,RAIFFEISEN BANK INTERNATIONAL AG,Financials,Aktien,"3.403.486,26","0,04","3.403.486,26","95.981,00","35,46",Österreich,Wiener Boerse Ag,EUR,AT0000606306
SAVE,NORDNET,Financials,Aktien,"3.388.285,06","0,04","3.388.285,06","137.440,00","24,65",Schweden,Nasdaq Omx Nordic,SEK,SE0015192067
R3NK,RENK GROUP AG,Industrie,Aktien,"3.372.976,10","0,04","3.372.976,10","65.686,00","51,35",Deutschland,Xetra,EUR,DE000RENK730
AZA,AVANZA BANK HOLDING,Financials,Aktien,"3.344.500,56","0,04","3.344.500,56","101.254,00","33,03",Schweden,Nasdaq Omx Nordic,SEK,SE0012454072
TUB,FINANCIERE DE TUBIZE SA,Gesundheitsversorgung,Aktien,"3.330.996,00","0,04","3.330.996,00","15.976,00","208,50",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0003823409
BKG,BERKELEY GROUP HOLDINGS (THE) PLC,Zyklische Konsumgüter ,Aktien,"3.321.403,06","0,04","3.321.403,06","78.106,00","42,52",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BP0RGD03
VOE,VOESTALPINE AG,Materialien,Aktien,"3.305.892,48","0,04","3.305.892,48","87.736,00","37,68",Österreich,Wiener Boerse Ag,EUR,AT0000937503
SCR,SCOR,Financials,Aktien,"3.300.420,80","0,04","3.300.420,80","121.339,00","27,20",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0010411983
ELIS,ELIS SA,Industrie,Aktien,"3.296.400,82","0,04","3.296.400,82","134.767,00","24,46",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0012435121
WDP,WAREHOUSES DE PAUW NV,Immobilien,Aktien,"3.296.588,92","0,04","3.296.588,92","149.573,00","22,04",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0974349814
ANA,ACCIONA SA,Versorger,Aktien,"3.294.264,00","0,04","3.294.264,00","19.020,00","173,20",Spanien,Bolsa De Madrid,EUR,ES0125220311
AMUN,AMUNDI SA,Financials,Aktien,"3.293.596,80","0,04","3.293.596,80","48.152,00","68,40",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0004125920
GETI B,GETINGE B,Gesundheitsversorgung,Aktien,"3.281.520,86","0,04","3.281.520,86","169.174,00","19,40",Schweden,Nasdaq Omx Nordic,SEK,SE0000202624
VALMT,VALMET,Industrie,Aktien,"3.277.554,72","0,04","3.277.554,72","116.556,00","28,12",Finnland,Nasdaq Omx Helsinki Ltd.,EUR,FI4000074984
LMP,LONDONMETRIC PROPERTY REIT PLC,Immobilien,Aktien,"3.263.338,31","0,03","3.263.338,31","1.501.761,00","2,17",Vereinigtes Königreich,London Stock Exchange,GBP,GB00B4WFW713
BALD B,FASTIGHETS BALDER CLASS B,Immobilien,Aktien,"3.262.728,75","0,03","3.262.728,75","525.672,00","6,21",Schweden,Nasdaq Omx Nordic,SEK,SE0017832488
CAST,CASTELLUM,Immobilien,Aktien,"3.263.159,78","0,03","3.263.159,78","335.200,00","9,73",Schweden,Nasdaq Omx Nordic,SEK,SE0000379190
VER,VERBUND AG,Versorger,Aktien,"3.260.043,45","0,03","3.260.043,45","52.119,00","62,55",Österreich,Wiener Boerse Ag,EUR,AT0000746409
SDR,SCHRODERS PLC,Financials,Aktien,"3.231.103,10","0,03","3.231.103,10","734.971,00","4,40",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BP9LHF23
SOF,SOFINA SA,Financials,Aktien,"3.226.326,40","0,03","3.226.326,40","13.288,00","242,80",Belgien,Nyse Euronext - Euronext Brussels,EUR,BE0003717312
GF,GEORG FISCHER AG,Industrie,Aktien,"3.214.647,29","0,03","3.214.647,29","57.066,00","56,33",Schweiz,SIX Swiss Exchange,CHF,CH1169151003
ABDN,ABERDEEN GROUP PLC,Financials,Aktien,"3.210.762,51","0,03","3.210.762,51","1.380.415,00","2,33",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BF8Q6K64
SUBC,SUBSEA SA,Energie,Aktien,"3.190.667,41","0,03","3.190.667,41","192.931,00","16,54",Norwegen,Oslo Bors Asa,NOK,LU0075646355
TW.,TAYLOR WIMPEY PLC,Zyklische Konsumgüter ,Aktien,"3.191.315,70","0,03","3.191.315,70","2.752.211,00","1,16",Vereinigtes Königreich,London Stock Exchange,GBP,GB0008782301
TEMN,TEMENOS AG,IT,Aktien,"3.179.663,88","0,03","3.179.663,88","41.179,00","77,22",Schweiz,SIX Swiss Exchange,CHF,CH0012453913
SAGA B,SAGAX CLASS B,Immobilien,Aktien,"3.176.472,77","0,03","3.176.472,77","172.390,00","18,43",Schweden,Nasdaq Omx Nordic,SEK,SE0005127818
HAG,HENSOLDT AG,Industrie,Aktien,"3.151.023,00","0,03","3.151.023,00","45.667,00","69,00",Deutschland,Xetra,EUR,DE000HAG0005
ALK B,ALK-ABELLO CLASS B,Gesundheitsversorgung,Aktien,"3.131.781,50","0,03","3.131.781,50","100.906,00","31,04",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0061802139
SYDB,SYDBANK,Financials,Aktien,"3.132.248,35","0,03","3.132.248,35","42.495,00","73,71",Dänemark,Omx Nordic Exchange Copenhagen A/S,DKK,DK0010311471
BMED,BANCA MEDIOLANUM,Financials,Aktien,"3.112.502,58","0,03","3.112.502,58","169.434,00","18,37",Italien,Borsa Italiana,EUR,IT0004776628
EMSN,EMS-CHEMIE HOLDING AG,Materialien,Aktien,"3.098.115,25","0,03","3.098.115,25","5.308,00","583,67",Schweiz,SIX Swiss Exchange,CHF,CH0016440353
CRDA,CRODA INTERNATIONAL PLC,Materialien,Aktien,"3.095.546,41","0,03","3.095.546,41","98.738,00","31,35",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BJFFLV09
SECT B,SECTRA CLASS B,Gesundheitsversorgung,Aktien,"3.082.777,40","0,03","3.082.777,40","117.845,00","26,16",Schweden,Nasdaq Omx Nordic,SEK,SE0022419784
IDR,INDRA SISTEMAS SA,IT,Aktien,"3.076.111,20","0,03","3.076.111,20","67.164,00","45,80",Spanien,Bolsa De Madrid,EUR,ES0118594417
ANDR,ANDRITZ AG,Industrie,Aktien,"3.068.679,95","0,03","3.068.679,95","49.217,00","62,35",Österreich,Wiener Boerse Ag,EUR,AT0000730007
SW,SODEXO SA,Zyklische Konsumgüter ,Aktien,"3.013.080,42","0,03","3.013.080,42","65.303,00","46,14",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0000121220
ADEN,ADECCO GROUP AG,Industrie,Aktien,"3.004.694,62","0,03","3.004.694,62","128.228,00","23,43",Schweiz,SIX Swiss Exchange,CHF,CH0012138605
A2A,A2A,Versorger,Aktien,"3.005.350,43","0,03","3.005.350,43","1.286.537,00","2,34",Italien,Borsa Italiana,EUR,IT0001233417
SSAB B,SSAB CLASS B,Materialien,Aktien,"2.986.979,07","0,03","2.986.979,07","496.193,00","6,02",Schweden,Nasdaq Omx Nordic,SEK,SE0000120669
IP,INTERPUMP GROUP,Industrie,Aktien,"2.956.352,64","0,03","2.956.352,64","68.056,00","43,44",Italien,Borsa Italiana,EUR,IT0001078911
CDR,CD PROJEKT SA,Kommunikation,Aktien,"2.936.408,93","0,03","2.936.408,93","51.130,00","57,43",Polen,Warsaw Stock Exchange/Equities/Main Market,PLN,PLOPTTC00011
DHER,DELIVERY HERO,Zyklische Konsumgüter ,Aktien,"2.924.719,03","0,03","2.924.719,03","169.943,00","17,21",Deutschland,Xetra,EUR,DE000A2E4K43
MNDI,MONDI PLC,Materialien,Aktien,"2.921.113,04","0,03","2.921.113,04","294.601,00","9,92",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BMWC6P49
JMAT,JOHNSON MATTHEY PLC,Materialien,Aktien,"2.913.952,79","0,03","2.913.952,79","130.001,00","22,41",Vereinigtes Königreich,London Stock Exchange,GBP,GB00BZ4BQC70
SALM,SALMAR,Nichtzyklische Konsumgüter,Aktien,"2.879.642,53","0,03","2.879.642,53","58.200,00","49,48",Norwegen,Oslo Bors Asa,NOK,NO0010310956
LAGR B,LAGERCRANTZ GROUP CLASS B,IT,Aktien,"2.877.733,16","0,03","2.877.733,16","146.371,00","19,66",Schweden,Nasdaq Omx Nordic,SEK,SE0014990966
GFC,GECINA SA,Immobilien,Aktien,"2.878.207,00","0,03","2.878.207,00","36.433,00","79,00",Frankreich,Nyse Euronext - Euronext Paris,EUR,FR0010040865
AZM,AZIMUT HOLDING,Financials,Aktien,"2.872.455,04","0,03","2.872.455,04","82.732,00","34,72",Italien,Borsa Italiana,EUR,IT0003261697
CVC,CVC CAPITAL PARTNERS PLC,Financials,Aktien,"2.868.118,13","0,03","2.868.118,13","203.557,00","14,09",Niederlande,Euronext Amsterdam,EUR,JE00BRX98089
BKW,BKW N AG,Versorger,Aktien,"2.865.677,35","0,03","2.865.677,35","16.071,00","178,31",Schweiz,SIX Swiss Exchange,CHF,CH0130293662
LUND B,LUNDBERGFORETAGEN CLASS B,Financials,Aktien,"2.863.214,80","0,03","2.863.214,80","61.851,00","46,29",Schweden,Nasdaq Omx Nordic,SEK,SE0000108847
MAP,MAPFRE SA,Financials,Aktien,"2.844.700,45","0,03","2.844.700,45","711.887,00","4,00",Spanien,Bolsa De Madrid,EUR,ES0124244E34
FNTN,FREENET AG,Kommunikation,Aktien,"2.826.988,72","0,03","2.826.988,72","99.332,00","28,46",Deutschland,Xetra,EUR,DE000A0Z2ZZ5
ALLN,ALLREAL HOLDING AG,Immobilien,Aktien,"2.820.854,78","0,03","2.820.854,78","13.137,00","214,73",Schweiz,SIX Swiss Exchange,CHF,CH0008837566
