Emittententicker,Name,Börse,ISIN
LSEG,LONDON STOCK EXCHANGE GROUP PLC,London Stock Exchange,GB00B0SWJX34
NDA FI,NORDEA BANK,Nasdaq Omx Helsinki Ltd.,FI4000297767
BN,DANONE SA,Nyse Euronext - Euronext Paris,FR0000120644
ARGX,ARGENX,Nyse Euronext - Euronext Brussels,NL0010832176
CPG,COMPASS GROUP PLC,London Stock Exchange,GB00BD6K4575
GLE,SOCIETE GENERALE SA,Nyse Euronext - Euronext Paris,FR0000130809
IFX,INFINEON TECHNOLOGIES AG,Xetra,DE0006231004
RKT,RECKITT BENCKISER GROUP PLC,London Stock Exchange,GB00B24CGK77
SREN,SWISS RE AG,SIX Swiss Exchange,CH0126881561
DGE,DIAGEO PLC,London Stock Exchange,GB0002374006
SGO,COMPAGNIE DE SAINT GOBAIN SA,Nyse Euronext - Euronext Paris,FR0000125007
HOLN,HOLCIM LTD AG,SIX Swiss Exchange,CH0012214059
DB1,DEUTSCHE BOERSE AG,Xetra,DE0005810055
MBG,MERCEDES-BENZ GROUP N AG,Xetra,DE0007100000
DHL,DEUTSCHE POST AG,Xetra,DE0005552004
LONN,LONZA GROUP AG,SIX Swiss Exchange,CH0013841017
VOLV B,VOLVO CLASS B,Nasdaq Omx Nordic,SE0000115446
ENGI,ENGIE SA,Nyse Euronext - Euronext Paris,FR0010208488
RACE,FERRARI NV,Borsa Italiana,NL0011585146
BAS,BASF N,Xetra,DE000BASF111
ADYEN,ADYEN NV,Euronext Amsterdam,NL0012969182
GLEN,GLENCORE PLC,London Stock Exchange,JE00B4T3BW64
DSV,DSV,Omx Nordic Exchange Copenhagen A/S,DK0060079531
HLN,HALEON PLC,London Stock Exchange,GB00BMX86B70
G,ASSICURAZIONI GENERALI,Borsa Italiana,IT0000062072
ATCO A,ATLAS COPCO CLASS A,Nasdaq Omx Nordic,SE0017486889
III,3I GROUP PLC,London Stock Exchange,GB00B1YW4409
STAN,STANDARD CHARTERED PLC,London Stock Exchange,GB0004082847
AAL,ANGLO AMERICAN PLC,London Stock Exchange,GB00BTK05J60
EOAN,E.ON N,Xetra,DE000ENAG999
ENI,ENI,Borsa Italiana,IT0003132476
CABK,CAIXABANK SA,Bolsa De Madrid,ES0140609019
ALC,ALCON AG,SIX Swiss Exchange,CH0432492467
EXPN,EXPERIAN PLC,London Stock Exchange,GB00B19NLV48
TSCO,TESCO PLC,London Stock Exchange,GB00BLGZ9862
LR,LEGRAND SA,Nyse Euronext - Euronext Paris,FR0010307819
AD,KONINKLIJKE AHOLD DELHAIZE NV,Euronext Amsterdam,NL0011794037
ASSA B,ASSA ABLOY B,Nasdaq Omx Nordic,SE0007100581
PRU,PRUDENTIAL PLC,London Stock Exchange,GB0007099541
BAYN,BAYER AG,Xetra,DE000BAY0017
RWE,RWE AG,Xetra,DE0007037129
UCB,UCB SA,Nyse Euronext - Euronext Brussels,BE0003739530
GIVN,GIVAUDAN SA,SIX Swiss Exchange,CH0010645932
AMS,AMADEUS IT GROUP SA,Bolsa De Madrid,ES0109067019
IMB,IMPERIAL BRANDS PLC,London Stock Exchange,GB0004544929
EQT,EQT,Nasdaq Omx Nordic,SE0012853455
FER,FERROVIAL,Bolsa De Madrid,NL0015001FS8
HEI,HEIDELBERG MATERIALS AG,Xetra,DE0006047004
EBS,ERSTE GROUP BANK AG,Wiener Boerse Ag,AT0000652011
ORA,ORANGE SA,Nyse Euronext - Euronext Paris,FR0000133308
SAND,SANDVIK,Nasdaq Omx Nordic,SE0000667891
SSE,SSE PLC,London Stock Exchange,GB0007908733
SIKA,SIKA AG,SIX Swiss Exchange,CH0418792922
ADS,ADIDAS N AG,Xetra,DE000A1EWWW0
SLHN,SWISS LIFE HOLDING AG,SIX Swiss Exchange,CH0014852781
SDZ,SANDOZ GROUP AG,SIX Swiss Exchange,CH1243598427
SEB A,SKANDINAVISKA ENSKILDA BANKEN,Nasdaq Omx Nordic,SE0000148884
NOKIA,NOKIA,Nasdaq Omx Helsinki Ltd.,FI0009000681
CBK,COMMERZBANK AG,Xetra,DE000CBK1001
DANSKE,DANSKE BANK,Omx Nordic Exchange Copenhagen A/S,DK0010274414
SAMPO,SAMPO CLASS A,Nasdaq Omx Helsinki Ltd.,FI4000552500
PRY,PRYSMIAN,Borsa Italiana,IT0004176001
SWED A,SWEDBANK,Nasdaq Omx Nordic,SE0000242455
BMW,BMW AG,Xetra,DE0005190003
UMG,UNIVERSAL MUSIC GROUP NV,Euronext Amsterdam,NL0015000IY2
ERIC B,ERICSSON B,Nasdaq Omx Nordic,SE0000108656
RYA,RYANAIR HOLDINGS PLC,Irish Stock Exchange - All Market,IE00BYTBXV33
KBC,KBC GROEP,Nyse Euronext - Euronext Brussels,BE0003565737
AHT,ASHTEAD GROUP PLC,London Stock Exchange,GB0000536739
KNEBV,KONE,Nasdaq Omx Helsinki Ltd.,FI0009013403
AMRZ,AMRIZE AG,SIX Swiss Exchange,CH1430134226
GEBN,GEBERIT AG,SIX Swiss Exchange,CH0030170408
GALD,GALDERMA GROUP N AG,SIX Swiss Exchange,CH1335392721
PGHN,PARTNERS GROUP HOLDING AG,SIX Swiss Exchange,CH0024608827
CAP,CAPGEMINI,Nyse Euronext - Euronext Paris,FR0000125338
AV.,AVIVA PLC,London Stock Exchange,GB00BPQY8M80
ASM,ASM INTERNATIONAL NV,Euronext Amsterdam,NL0000334118
WKL,WOLTERS KLUWER NV,Euronext Amsterdam,NL0000395903
HO,THALES SA,Nyse Euronext - Euronext Paris,FR0000121329
KER,KERING SA,Nyse Euronext - Euronext Paris,FR0000121485
VOD,VODAFONE GROUP PLC,London Stock Exchange,GB00BH4HKS39
VWS,VESTAS WIND SYSTEMS,Omx Nordic Exchange Copenhagen A/S,DK0061539921
HEXA B,HEXAGON CLASS B,Nasdaq Omx Nordic,SE0015961909
DTG,DAIMLER TRUCK HOLDING E AG,Xetra,DE000DTR0CK8
VIE,VEOLIA ENVIRON. SA,Nyse Euronext - Euronext Paris,FR0000124141
VOW3,VOLKSWAGEN NON-VOTING PREF AG,Xetra,DE0007664039
ML,MICHELIN,Nyse Euronext - Euronext Paris,FR001400AJ45
HEIA,HEINEKEN NV,Euronext Amsterdam,NL0000009165
FRE,FRESENIUS SE AND CO KGAA,Xetra,DE0005785604
PUB,PUBLICIS GROUPE SA,Nyse Euronext - Euronext Paris,FR0000130577
DNB,DNB BANK,Oslo Bors Asa,NO0010161896
BMPS,BANCA MONTE DEI PASCHI DI SIENA SP,Borsa Italiana,IT0005508921
MTX,MTU AERO ENGINES HOLDING AG,Xetra,DE000A0D9PT0
PHIA,KONINKLIJKE PHILIPS NV,Euronext Amsterdam,NL0000009538
SHB A,SVENSKA HANDELSBANKEN-A SHS,Nasdaq Omx Nordic,SE0007100599
VNA,VONOVIA SE,Xetra,DE000A1ML7J1
ACA,CREDIT AGRICOLE SA,Nyse Euronext - Euronext Paris,FR0000045072
NXT,NEXT PLC,London Stock Exchange,GB0032089863
NSIS B,NOVOZYMES B,Omx Nordic Exchange Copenhagen A/S,DK0060336014
LDO,LEONARDO FINMECCANICA SPA,Borsa Italiana,IT0003856405
REP,REPSOL SA,Bolsa De Madrid,ES0173516115
STLAM,STELLANTIS NV,Borsa Italiana,NL00150001Q9
GMAB,GENMAB,Omx Nordic Exchange Copenhagen A/S,DK0010272202
IHG,INTERCONTINENTAL HOTELS GROUP PLC,London Stock Exchange,GB00BHJYC057
AENA,AENA SME SA,Bolsa De Madrid,ES0105046017
DSY,DASSAULT SYSTEMES,Nyse Euronext - Euronext Paris,FR0014003TT8
A5G,AIB GROUP PLC,Irish Stock Exchange - All Market,IE00BF0L3536
SAB,BANCO DE SABADELL SA,Bolsa De Madrid,ES0113860A34
ABN,ABN AMRO BANK NV,Euronext Amsterdam,NL0011540547
SGSN,SGS SA,SIX Swiss Exchange,CH1256740924
ACS,ACS ACTIVIDADES DE CONSTRUCCION Y,Bolsa De Madrid,ES0167050915
LGEN,LEGAL AND GENERAL GROUP PLC,London Stock Exchange,GB0005603997
SCMN,SWISSCOM AG,SIX Swiss Exchange,CH0008742519
NN,NN GROUP NV,Euronext Amsterdam,NL0010773842
PKO,POWSZECHNA KASA OSZCZEDNOSCI BANK,Warsaw Stock Exchange/Equities/Main Market,PLPKO0000016
MT,ARCELORMITTAL SA,Euronext Amsterdam,LU1598757687
HNR1,HANNOVER RUECK,Xetra,DE0008402215
HLMA,HALMA PLC,London Stock Exchange,GB0004052071
KPN,KONINKLIJKE KPN NV,Euronext Amsterdam,NL0000009082
RI,PERNOD RICARD SA,Nyse Euronext - Euronext Paris,FR0000120693
MRK,MERCK,Xetra,DE0006599905
BIRG,BANK OF IRELAND GROUP PLC,Irish Stock Exchange - All Market,IE00BD1RP616
INF,INFORMA PLC,London Stock Exchange,GB00BMJ6DW54
SAAB B,SAAB CLASS B,Nasdaq Omx Nordic,SE0021921269
BPE,BPER BANCA,Borsa Italiana,IT0000066123
BAMI,BANCO BPM,Borsa Italiana,IT0005218380
TEF,TELEFONICA SA,Bolsa De Madrid,ES0178430E18
LOGN,LOGITECH INTERNATIONAL SA,SIX Swiss Exchange,CH0025751329
EQNR,EQUINOR,Oslo Bors Asa,NO0010096985
SHL,SIEMENS HEALTHINEERS AG,Xetra,DE000SHL1006
ESSITY B,ESSITY CLASS B,Nasdaq Omx Nordic,SE0009922164
WRT1V,WARTSILA,Nasdaq Omx Helsinki Ltd.,FI0009003727
TRN,TERNA RETE ELETTRICA NAZIONALE,Borsa Italiana,IT0003242622
STMMI,STMICROELECTRONICS NV,Borsa Italiana,NL0000226223
FBK,FINECOBANK BANCA FINECO,Borsa Italiana,IT0000072170
DSFIR,DSM FIRMENICH AG,Euronext Amsterdam,CH1216478797
BT.A,BT GROUP PLC,London Stock Exchange,GB0030913577
MONC,MONCLER,Borsa Italiana,IT0004965148
BAER,JULIUS BAER GRUPPE AG,SIX Swiss Exchange,CH0102484968
CLNX,CELLNEX TELECOM SA,Bolsa De Madrid,ES0105066007
PKN,ORLEN SA,Warsaw Stock Exchange/Equities/Main Market,PLPKN0000018
KRZ,KERRY GROUP PLC,Irish Stock Exchange - All Market,IE0004906560
SN.,SMITH AND NEPHEW PLC,London Stock Exchange,GB0009223206
LISP,CHOCOLADEFABRIKEN LINDT & SPRUENGL,SIX Swiss Exchange,CH0010570767
UPM,UPM-KYMMENE,Nasdaq Omx Helsinki Ltd.,FI0009005987
SCHP,SCHINDLER HOLDING PAR AG,SIX Swiss Exchange,CH0024638196
ANTO,ANTOFAGASTA PLC,London Stock Exchange,GB0000456144
COLO B,COLOPLAST B,Omx Nordic Exchange Copenhagen A/S,DK0060448595
STMN,STRAUMANN HOLDING AG,SIX Swiss Exchange,CH1175448666
SRG,SNAM,Borsa Italiana,IT0003153415
ALFA,ALFA LAVAL,Nasdaq Omx Nordic,SE0000695876
SGE,THE SAGE GROUP PLC,London Stock Exchange,GB00B8C3BL03
EN,BOUYGUES SA,Nyse Euronext - Euronext Paris,FR0000120503
FGR,EIFFAGE SA,Nyse Euronext - Euronext Paris,FR0000130452
EPI A,EPIROC CLASS A,Nasdaq Omx Nordic,SE0015658109
IAG,INTERNATIONAL AIRLINES GROUP SA,London Stock Exchange,ES0177542018
BOL,BOLIDEN,Nasdaq Omx Nordic,SE0020050417
KRX,KINGSPAN GROUP PLC,Irish Stock Exchange - All Market,IE0004927939
HEN3,HENKEL & KGAA PREF AG,Xetra,DE0006048432
EDP,EDP ENERGIAS DE PORTUGAL SA,Nyse Euronext - Euronext Lisbon,PTEDP0AM0009
RTO,RENTOKIL INITIAL PLC,London Stock Exchange,GB00B082RF11
SOON,SONOVA HOLDING AG,SIX Swiss Exchange,CH0012549785
ENX,EURONEXT NV,Nyse Euronext - Euronext Paris,NL0006294274
SPSN,SWISS PRIME SITE AG,SIX Swiss Exchange,CH0008038389
ELE,ENDESA SA,Bolsa De Madrid,ES0130670112
CARL B,CARLSBERG AS CL B,Omx Nordic Exchange Copenhagen A/S,DK0010181759
VACN,VAT GROUP AG,SIX Swiss Exchange,CH0311864901
CNA,CENTRICA PLC,London Stock Exchange,GB00B033F229
AC,ACCOR SA,Nyse Euronext - Euronext Paris,FR0000120404
UU.,UNITED UTILITIES GROUP PLC,London Stock Exchange,GB00B39J2M42
SGRO,SEGRO REIT PLC,London Stock Exchange,GB00B5ZN1N88
PST,POSTE ITALIANE,Borsa Italiana,IT0003796171
SY1,SYMRISE AG,Xetra,DE000SYM9999
URW,UNIBAIL RODAMCO WE STAPLED UNITS,Nyse Euronext - Euronext Paris,FR0013326246
AGS,AGEAS SA,Nyse Euronext - Euronext Brussels,BE0974264930
ADM,ADMIRAL GROUP PLC,London Stock Exchange,GB00B02J6398
AKZA,AKZO NOBEL NV,Euronext Amsterdam,NL0013267909
BESI,BE SEMICONDUCTOR INDUSTRIES NV,Euronext Amsterdam,NL0012866412
BALN,BALOISE HOLDING AG,SIX Swiss Exchange,CH0012410517
SMIN,SMITHS GROUP PLC,London Stock Exchange,GB00B1WY2338
KNIN,KUEHNE UND NAGEL INTERNATIONAL AG,SIX Swiss Exchange,CH0025238863
QIA,QIAGEN NV,Deutsche Börse AG,NL0015002CX3
BG,BAWAG GROUP AG,Wiener Boerse Ag,AT0000BAWAG2
BKT,BANKINTER SA,Bolsa De Madrid,ES0113679I37
METSO,METSO CORPORATION,Nasdaq Omx Helsinki Ltd.,FI0009014575
FME,FRESENIUS MEDICAL CARE AG,Xetra,DE0005785802
G1A,GEA GROUP AG,Xetra,DE0006602006
CCH,COCA COLA HBC AG,London Stock Exchange,CH0198251305
BVI,BUREAU VERITAS SA,Nyse Euronext - Euronext Paris,FR0006174348
AGN,AEGON LTD,Euronext Amsterdam,BMG0112X1056
ITRK,INTERTEK GROUP PLC,London Stock Exchange,GB0031638363
PZU,PZU SA,Warsaw Stock Exchange/Equities/Main Market,PLPZU0000011
KOG,KONGSBERG GRUPPEN,Oslo Bors Asa,NO0013536151
DPLM,DIPLOMA PLC,London Stock Exchange,GB0001826634
SVT,SEVERN TRENT PLC,London Stock Exchange,GB00B1FH8J72
EVO,EVOLUTION,Nasdaq Omx Nordic,SE0012673267
MRO,MELROSE INDUSTRIES PLC,London Stock Exchange,GB00BNGDN821
BEI,BEIERSDORF AG,Xetra,DE0005200000
MOWI,MOWI,Oslo Bors Asa,NO0003054108
PEO,BANK PEKAO SA,Warsaw Stock Exchange/Equities/Main Market,PLPEKAO00016
FORTUM,FORTUM,Nasdaq Omx Helsinki Ltd.,FI0009007132
STJ,ST JAMESS PLACE PLC,London Stock Exchange,GB0007669376
BEAN,BELIMO N AG,SIX Swiss Exchange,CH1101098163
CA,CARREFOUR SA,Nyse Euronext - Euronext Paris,FR0000120172
BNZL,BUNZL,London Stock Exchange,GB00B0744B38
ORSTED,ORSTED A/S,Omx Nordic Exchange Copenhagen A/S,DK0060094928
MKS,MARKS AND SPENCER GROUP PLC,London Stock Exchange,GB0031274896
WEIR,WEIR GROUP PLC,London Stock Exchange,GB0009465807
TEL,TELENOR,Oslo Bors Asa,NO0010063308
SPIE,SPIE SA,Nyse Euronext - Euronext Paris,FR0012757854
SKA B,SKANSKA B,Nasdaq Omx Nordic,SE0000113250
NHY,NORSK HYDRO,Oslo Bors Asa,NO0005052605
ASRNL,ASR NEDERLAND NV,Euronext Amsterdam,NL0011872643
TELIA,TELIA COMPANY,Nasdaq Omx Nordic,SE0000667925
MAERSK B,A P MOLLER MAERSK B,Omx Nordic Exchange Copenhagen A/S,DK0010244508
ALO,ALSTOM SA,Nyse Euronext - Euronext Paris,FR0010220475
SKF B,SKF B,Nasdaq Omx Nordic,SE0000108227
LI,KLEPIERRE REIT SA,Nyse Euronext - Euronext Paris,FR0000121964
HELN,HELVETIA HOLDING AG,SIX Swiss Exchange,CH0466642201
WISE,WISE PLC CLASS A,London Stock Exchange,GB00BL9YR756
HM B,HENNES & MAURITZ,Nasdaq Omx Nordic,SE0000106270
TEL2 B,TELE2 B,Nasdaq Omx Nordic,SE0005190238
GALP,GALP ENERGIA SGPS SA CLASS B,Nyse Euronext - Euronext Lisbon,PTGAL0AM0009
GAW,GAMES WORKSHOP GROUP PLC,London Stock Exchange,GB0003718474
PNDORA,PANDORA,Omx Nordic Exchange Copenhagen A/S,DK0060252690
UNI,UNIPOL ASSICURAZIONI SPA,Borsa Italiana,IT0004810054
ADDT B,ADDTECH CLASS B,Nasdaq Omx Nordic,SE0014781795
RXL,REXEL SA,Nyse Euronext - Euronext Paris,FR0010451203
PSON,PEARSON PLC,London Stock Exchange,GB0006776081
ABF,ASSOCIATED BRITISH FOODS PLC,London Stock Exchange,GB0006731235
IMI,IMI PLC,London Stock Exchange,GB00BGLP8L22
NESTE,NESTE,Nasdaq Omx Helsinki Ltd.,FI0009013296
MNG,M&G PLC,London Stock Exchange,GB00BKFB1C65
RNO,RENAULT SA,Nyse Euronext - Euronext Paris,FR0000131906
SOBI,SWEDISH ORPHAN BIOVITRUM,Nasdaq Omx Nordic,SE0000872095
HEIO,HEINEKEN HOLDING NV,Euronext Amsterdam,NL0000008977
BCP,BANCO COMERCIAL PORTUGUES SA,Nyse Euronext - Euronext Lisbon,PTBCP0AM0015
LIFCO B,LIFCO CLASS B,Nasdaq Omx Nordic,SE0015949201
ORK,ORKLA,Oslo Bors Asa,NO0003733800
TREL B,TRELLEBORG B,Nasdaq Omx Nordic,SE0000114837
ERF,EUROFINS SCIENTIFIC,Nyse Euronext - Euronext Paris,FR0014000MR3
PSPN,PSP SWISS PROPERTY AG,SIX Swiss Exchange,CH0018294154
TLX,TALANX AG,Xetra,DE000TLX1005
TRYG,TRYG,Omx Nordic Exchange Copenhagen A/S,DK0060636678
ICG,ICG PLC,London Stock Exchange,GB00BYT1DJ19
G24,SCOUT24 N,Xetra,DE000A12DM80
EXO,EXOR NV,Euronext Amsterdam,NL0012059018
CON,CONTINENTAL AG,Xetra,DE0005439004
OMV,OMV AG,Wiener Boerse Ag,AT0000743059
KGH,KGHM POLSKA MIEDZ SA,Warsaw Stock Exchange/Equities/Main Market,PLKGHM000017
BAB,BABCOCK INTERNATIONAL GROUP PLC,London Stock Exchange,GB0009697037
ACLN,ACCELLERON N AG,SIX Swiss Exchange,CH1169360919
SBRY,SAINSBURY(J) PLC,London Stock Exchange,GB00B019KW72
PHNX,PHOENIX GROUP HOLDINGS PLC,London Stock Exchange,GB00BGXQNP29
SECU B,SECURITAS B,Nasdaq Omx Nordic,SE0000163594
ORNBV,ORION CLASS B,Nasdaq Omx Helsinki Ltd.,FI0009014377
BTRW,BARRATT REDROW PLC,London Stock Exchange,GB0000811801
AUTO,AUTO TRADER GROUP PLC,London Stock Exchange,GB00BVYVFW23
KGF,KINGFISHER PLC,London Stock Exchange,GB0033195214
GBLB,GROUPE BRUXELLES LAMBERT NV,Nyse Euronext - Euronext Brussels,BE0003797140
IG,ITALGAS,Borsa Italiana,IT0005211237
AKRBP,AKER BP,Oslo Bors Asa,NO0010345853
BNR,BRENNTAG,Xetra,DE000A1DAHH0
ELISA,ELISA,Nasdaq Omx Helsinki Ltd.,FI0009007884
NEM,NEMETSCHEK,Xetra,DE0006452907
JMT,JERONIMO MARTINS SA,Nyse Euronext - Euronext Lisbon,PTJMT0AE0001
STERV,STORA ENSO CLASS R,Nasdaq Omx Helsinki Ltd.,FI0009005961
HOT,HOCHTIEF AG,Xetra,DE0006070006
SRT3,SARTORIUS PREF AG,Xetra,DE0007165631
TEN,TENARIS SA,Borsa Italiana,LU2598331598
SCA B,SVENSKA CELLULOSA B,Nasdaq Omx Nordic,SE0000112724
NKT,NKT,Omx Nordic Exchange Copenhagen A/S,DK0010287663
KCR,KONECRANES,Nasdaq Omx Helsinki Ltd.,FI0009005870
GTT,GAZTRANSPORT & TECHNIGAZ SA,Nyse Euronext - Euronext Paris,FR0011726835
INDU C,INDUSTRIVARDEN SERIES,Nasdaq Omx Nordic,SE0000107203
KBX,KNORR BREMSE AG,Xetra,DE000KBX1006
DIM,SARTORIUS STEDIM BIOTECH SA,Nyse Euronext - Euronext Paris,FR0013154002
ALE,ALLEGRO SA,Warsaw Stock Exchange/Equities/Main Market,LU2237380790
STB,STOREBRAND,Oslo Bors Asa,NO0003053605
SQN,SWISSQUOTE GROUP HOLDING SA,SIX Swiss Exchange,CH0010675863
DCC,DCC PLC,London Stock Exchange,IE0002424939
REC,RECORDATI INDUSTRIA CHIMICA E FARM,Borsa Italiana,IT0003828271
WTB,WHITBREAD PLC,London Stock Exchange,GB00B1KJJ408
BEZ,BEAZLEY PLC,London Stock Exchange,GB00BYQ0JC66
BEIJ B,BEIJER REF CLASS B,Nasdaq Omx Nordic,SE0015949748
INDT,INDUTRADE,Nasdaq Omx Nordic,SE0001515552
ZAL,ZALANDO,Xetra,DE000ZAL1111
PAH3,PORSCHE AUTOMOBIL HOLDING PREF,Xetra,DE000PAH0038
LTMC,LOTTOMATICA GROUP,Borsa Italiana,IT0005541336
TIT,TELECOM ITALIA,Borsa Italiana,IT0003497168
HSX,HISCOX LTD,London Stock Exchange,BMG4593F1389
SPX,SPIRAX GROUP PLC,London Stock Exchange,GB00BWFGQN14
ENT,ENTAIN PLC,London Stock Exchange,IM00B5VQMV65
BIM,BIOMERIEUX SA,Nyse Euronext - Euronext Paris,FR0013280286
FRES,FRESNILLO PLC,London Stock Exchange,GB00B2QPKJ12
LAND,LAND SECURITIES GROUP REIT PLC,London Stock Exchange,GB00BYW0PQ60
ABVX,ABIVAX SA,Nyse Euronext - Euronext Paris,FR0012333284
LPP,LPP SA,Warsaw Stock Exchange/Equities/Main Market,PLLPP0000011
HWDN,HOWDEN JOINERY GROUP PLC,London Stock Exchange,GB0005576813
YAR,YARA INTERNATIONAL,Oslo Bors Asa,NO0010208051
AM,DASSAULT AVIATION SA,Nyse Euronext - Euronext Paris,FR0014004L86
KESKOB,KESKO CLASS B,Nasdaq Omx Helsinki Ltd.,FI0009000202
FHZN,FLUGHAFEN ZUERICH AG,SIX Swiss Exchange,CH0319416936
SYENS,SYENSQO NV,Nyse Euronext - Euronext Brussels,BE0974464977
IGG,IG GROUP HOLDINGS PLC,London Stock Exchange,GB00B06QFB75
GALE,GALENICA AG,SIX Swiss Exchange,CH0360674466
ELI,ELIA GROUP SA,Nyse Euronext - Euronext Brussels,BE0003822393
AVOL,AVOLTA AG,SIX Swiss Exchange,CH0023405456
RILBA,RINGKJOBING LANDBOBANK,Omx Nordic Exchange Copenhagen A/S,DK0060854669
BRBY,BURBERRY GROUP PLC,London Stock Exchange,GB0031743007
UHR,THE SWATCH GROUP AG,SIX Swiss Exchange,CH0012255151
EVD,CTS EVENTIM AG,Xetra,DE0005470306
JDEP,JDE PEETS NV,Euronext Amsterdam,NL0014332678
SXS,SPECTRIS PLC,London Stock Exchange,GB0003308607
RMV,RIGHTMOVE PLC,London Stock Exchange,GB00BGDT3G23
BARN,BARRY CALLEBAUT AG,SIX Swiss Exchange,CH0009002962
P911,DR ING HC F PORSCHE PRF AG,Xetra,DE000PAG9113
PSN,PERSIMMON PLC,London Stock Exchange,GB0006825383
KGX,KION GROUP AG,Xetra,DE000KGX8881
DNP,DINO POLSKA SA,Warsaw Stock Exchange/Equities/Main Market,PLDINPL00011
LEG,LEG IMMOBILIEN N,Xetra,DE000LEG1110
GJF,GJENSIDIGE FORSIKRING,Oslo Bors Asa,NO0010582521
IPN,IPSEN SA,Nyse Euronext - Euronext Paris,FR0010259150
MRL,MERLIN PROPERTIES REIT SA,Bolsa De Madrid,ES0105025003
BLND,BRITISH LAND REIT PLC,London Stock Exchange,GB0001367019
IMCD,IMCD NV,Euronext Amsterdam,NL0010801007
ISS,ISS A S,Omx Nordic Exchange Copenhagen A/S,DK0060542181
